series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT			0.02	0.02	0.04													2004	0.04		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT	0.5	0.45	0.47	0.47	0.47	0.44	0.44	0.43	0.45	0.5	0.57	0.54	0.61	0.64	0.8		0.6475	2014	0.8		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT	0.11	0.07	0.16															2002	0.16		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT								0.2	0.15	0.14	0.14	0.12					0.12	2011	0.12		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT	0.72	0.71	0.62	0.61	0.63	0.68	0.66	0.96	0.74	0.64	0.69	0.7	0.67	0.67			0.68	2013	0.67		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT			0.05															2002	0.05		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT	1.87	2.04	1.99	1.99	2.01	1.99	1.96	1.92	1.87	1.92	1.84	1.8	1.79	1.69	1.61		1.7225	2014	1.61		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT												0.07					0.07	2011	0.07		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT	0.14				0.18		0.17		0.11		0.14			0.1			0.1	2013	0.1		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT								0.31	0.37	0.35	0.33	0.35	0.36	0.39	0.38		0.37	2014	0.38		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	0.9	0.95	1.06	1.13	1.22	1.32	1.38	1.38	1.46	1.68	1.73	1.79	1.93	2.01	2.05		1.945	2014	2.05		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT	0.11	0.11	0.12	0.18	0.15	0.15	0.15	0.18	0.19	0.19	0.2	0.21	0.21	0.26	0.2		0.22	2014	0.2		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT					0.27	0.06	0.06	0.14	0.09	0.08								2009	0.08		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT	0.39			0.36	0.37		0.43	0.36	0.4	0.54	0.48	0.47	0.57	0.56			0.533333333333333	2013	0.56		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT	1.04	0.92	0.95	0.95	1.03	0.86	0.74	0.79	0.88	0.84	0.74	0.75	0.75	0.82	0.79		0.7775	2014	0.79		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT	0.48	0.57	0.56	0.58	0.6	0.55	0.44	0.44	0.5	0.61	0.61	0.27	0.41	0.47	0.41		0.39	2014	0.41		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	PERCENT	0.23	0.24	0.28	0.32	0.34	0.37	0.39	0.4	0.39	0.45	0.45	0.46	0.43	0.46	0.47		0.455	2014	0.47		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	PERCENT	1.12	1.11	1.1	1.15	1.15	1.17	1.23	1.31	1.24	1.3	1.34	1.56	1.79	1.91	2		1.815	2014	2		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	PERCENT		2.32	2.44	2.51	2.42	2.39	2.4	2.51	2.78	3.07	2.94	2.97	3.03	3.08	3.08		3.04	2014	3.08		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	PERCENT		0.05	0.06	0.06			0.13	0.13	0.23	0.39	0.4	0.34					0.34	2011	0.34		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	PERCENT								0.09	0.11	0.08	0.07	0.03	0.03	0.06	0.08		0.05	2014	0.08		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	PERCENT						0.18		0.17			0.24			0.6			0.6	2013	0.6		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	PERCENT	0.6	0.7	0.72	0.77	0.85	0.92	1.12	1.07	1.26	1.4	1.58	2.31	2.11	1.71	1.44		1.8925	2014	1.44		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	PERCENT	3.25	3.2	3.26	3.3	3.31	3.33	3.34	3.35	3.55	3.75	3.73	3.64	3.42	3.3	3.17		3.3825	2014	3.17		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	PERCENT	2.08	2.13	2.17	2.11	2.09	2.04	2.05	2.02	2.06	2.21	2.18	2.19	2.23	2.24	2.26		2.23	2014	2.26		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	PERCENT								0.42	0.51	0.58								2009	0.58		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	PERCENT	0.22	0.24	0.19	0.22	0.24	0.18								0.08	0.1		0.09	2014	0.1		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	PERCENT									0.02	0.02		0.13					0.13	2011	0.13		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	PERCENT																					
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	PERCENT	2.39	2.39	2.42	2.46	2.42	2.42	2.46	2.45	2.6	2.73	2.71	2.8	2.87	2.83	2.87		2.8425	2014	2.87		C
2017.Q2.G.01	GB_XPD_RSDV	Research and development (R&D) expenditure as a proportion of GDP	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	PERCENT								0.23			0.38							2010	0.38		C
