series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	144215	460011	815418	1242928	1619944	2010584	2451585	2729624	2982500	3153262	3373143	3543759	3692009	3828918	4011201	4121049	3839387.2	2015	4121049	Belgian Institute for Postal Services and Telecommunications	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	60	-64.78155012	32.27881922	BMU	Bermuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP						18487	23643	28799	33955	40000	40100			40100	34731	30000	34943.6666666667	2015	30000	ITU estimate.	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	64	90.45098484	27.39598568	BTN	Bhutan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP									2060	3378	8675	13233	16766	20481	24979	27874	20666.6	2015	27874	Ministry of Information & Communications	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP			3330	5740	8723	12973	17589	33977	79314	96134	95948	73542	116708	154098	172783	180951	139616.4	2015	180951	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	27	68	213	1500	6637	13702	40000	84691	188460	292113	390902	430247	469397	516104	542405	634987	518628	2015	634987	Communications Regulatory Agency B & H	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP						1600	1800	3540	8900	10000	11978	19125	22236	21590	33290	36845	26617.2	2015	36845	Botswana Communications Regulatory Authority (BOCRA)	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																					
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1e+05	331000	731000	966252	3157466	3233800	4767007	7609452	10016914	11729995	14100890	17833051	19119646	21360635	23588919	24944252	21369300.6	2015	24944252	Agência Nacional de Telecomunicaçoes	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP				940	2827	5022	7245	7480	8047	8340	8915	9698	9973	9900	9900	17379	11370	2015	17379	Belize Telemedia Limited	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																					
