series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CON_USD	41.345179	107.541587	63.490327	141.93008	219.275701	317.577274	720.763862	212.241446	473.398078	661.874715	477.171075	2015	661.874715		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CON_USD	2.83363	4.06481	8.97065	8.394435	10.496224	7.82505	13.006946	15.705883	16.712862	10.796144	12.809377	2015	10.796144		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CON_USD	18.882333	16.60555	10.494379	20.682389	22.462911	39.141636	39.874291	36.749749	34.051963	41.883887	38.3403052	2015	41.883887		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CON_USD	15.144793	10.821092	18.859368	23.946245	39.563043	73.515429	34.245043	327.932682	148.740198	319.393235	180.7653174	2015	319.393235		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CON_USD	48.448141	85.164436	65.679689	78.338097	108.732825	106.974572	147.594097	139.622143	142.393271	89.688673	125.2545512	2015	89.688673		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CON_USD	2.012325	3.698818	5.7674	7.468151	28.933412	6.078995	5.695503	14.7551	15.047323	13.706467	11.0566776	2015	13.706467		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CON_USD	99.457029	117.245473	126.048414	116.704474	188.527697	215.268032	226.539757	250.122109	288.650869	214.713781	239.0589096	2015	214.713781		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	CON_USD	114.960497	138.024147	117.493005	127.4415	142.516152	126.784942	186.720861	258.361328	305.975011	196.917188	214.951866	2015	196.917188		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	CON_USD	41.641512	40.08556	89.079723	70.811936	145.572652	77.775586	65.980461	51.878494	77.814207	52.059501	65.1016498	2015	52.059501		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	CON_USD	58.035487	25.947456	16.430715	24.725827	31.682036	80.245938	51.487067	15.618906	22.487211	18.55315	37.6784544	2015	18.55315		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	CON_USD	247.41099	207.090311	319.483283	362.047894	291.348766	364.018364	368.390468	336.158568	404.20872	373.793651	369.3139542	2015	373.793651		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	CON_USD	50.363411	30.179336	59.470572	68.518142	24.713632	55.456396	41.540218	44.441038	45.212894	87.863352	54.9027796	2015	87.863352		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	CON_USD	46.979714	52.644867	41.823078	30.223069	90.165714	97.297279	51.945773	19.729181	169.811728	17.798873	71.3165668	2015	17.798873		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	CON_USD	632.162482	730.957434	754.686632	527.584579	438.128244	510.196256	475.607531	327.119658	239.665961	372.261327	384.9701466	2015	372.261327		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	CON_USD	99.092736	126.605959	167.552973	188.776759	144.333624	227.771088	123.744367	168.542958	177.697253	213.505875	182.2523082	2015	213.505875		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	CON_USD	2.99451	4.526194	2.291135	3.704477	6.935319	5.210698	7.851493	12.437385	12.853056	13.626098	10.395746	2015	13.626098		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	CON_USD	11.765759	35.089597	31.100559	23.802671	16.913734	36.287175	46.965382	26.695935	25.314512	27.585931	32.569787	2015	27.585931		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	CON_USD	182.339936	150.580224	233.598229	427.870933	266.861494	357.771992	457.577531	550.910699	498.749795	460.654624	465.1329282	2015	460.654624		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	CON_USD	1.071569	1.42706	1.318263	1.897658	2.659948	8.027353	12.554319	4.402808	14.020947	10.290404	9.8591662	2015	10.290404		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	CON_USD	23.156032	43.929093	43.582158	67.634214	59.510409	14.702164	10.463462	12.338919	12.95225	50.542499	20.1998588	2015	50.542499		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	CON_USD	11.643215	6.58615	12.815192	20.38348	30.342686	15.346848	10.325145	15.654454	21.059854	12.458393	14.9689388	2015	12.458393		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	CON_USD	67.70349	94.339518	159.034294	162.77236	189.202337	264.096537	127.607	169.596263	161.531069	167.144273	177.9950284	2015	167.144273		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	CON_USD	5.552341	9.242476	9.646227	19.201777	16.178787	12.02627	10.933589	10.103524	11.734986	3.806387	9.7209512	2015	3.806387		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	CON_USD	34.707935	37.039739	78.718349	45.338018	41.667505	143.374276	140.746463	25.689228	51.111736	28.132401	77.8108208	2015	28.132401		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	CON_USD	23.561233	34.898818	51.13826	50.397445	58.670106	58.537334	51.519171	57.51863	57.322608	240.423725	93.0642936	2015	240.423725		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	CON_USD	35.06885	36.609724	65.620016	82.162098	129.149236	141.248849	135.68508	47.050368	22.673758	20.017424	73.3350958	2015	20.017424		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	CON_USD	0.023329	0.605359	0.499619	0.449412	0.326718	1.152231	1.11163	0.136616	0.12799	0.061619	0.5180172	2015	0.061619		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	CON_USD	455.45312	446.874208	495.109049	941.456346	508.574456	564.231493	525.912704	780.966161	727.855546	763.588828	672.5109464	2015	763.588828		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	CON_USD	20.813254	13.086027	16.64173	15.539786	22.715879	8.543384	5.749477	7.39724	4.543056	10.579582	7.3625478	2015	10.579582		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	CON_USD	9.446154	7.183199	6.909281	4.925038	8.588773	8.61317	13.102496	9.921791	10.866092	27.301685	13.9610468	2015	27.301685		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	CON_USD	1.8264	7.567715	14.689792	37.760908	26.840325	15.784784	12.079244	25.849546	29.734925	54.939389	27.6775776	2015	54.939389		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	CON_USD	15.708092	29.87394	16.862307	15.408886	45.246599	21.179061	25.0122	20.756707	47.907063	65.505026	36.0720114	2015	65.505026		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	CON_USD	110.284524	122.559991	211.822023	231.513815	235.784047	180.937533	304.835055	306.256396	256.836032	238.763786	257.5257604	2015	238.763786		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	CON_USD	12.385079	14.163946	15.445522	29.807317	31.571241	50.991339	46.889964	34.359573	37.637124	36.573801	41.2903602	2015	36.573801		
2017.Q2.G.01	DC_TOF_TRDDBML	Total official flows disbursed for Aid for Trade, by recipient	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	CON_USD	80.002054	60.828193	55.961809	130.625548	209.272665	166.855388	65.655862	93.427285	118.631724	97.009765	108.3160048	2015	97.009765		
