series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2005	2010	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.487	0.465	0.457	0.451	0.41	0.4305	2015	0.41	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.278	0.263	0.257	0.246	0.25	0.248	2015	0.25	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	112	28.04940161	53.54193075	BLR	Belarus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	116	104.922836	12.71163737	KHM	Cambodia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	120	12.7419827	5.692387031	CMR	Cameroon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.997	1.052	1.006	1.094	1.08	1.087	2015	1.08	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	124	-101.6575058	57.72360191	CAN	Canada	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	3.873	3.721	3.648	3.802	3.8	3.801	2015	3.8	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.11	0.104	0.102	0.086	0.09	0.088	2015	0.09	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	140	20.93559492	7.003720791	CAF	Central African Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.077	0.072	0.071	0.054	0.05	0.052	2015	0.05	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	148	18.66618401	15.36279341	TCD	Chad	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.109	0.103	0.1	0.08	0.08	0.08	2015	0.08	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	152	-71.23029019	-35.2652885	CHL	Chile	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	156	104.1403375	32.30955217	CHN	China	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1.174	1.124	1.105	1.126	1.15	1.138	2015	1.15	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	170	-73.07446751	3.888209046	COL	Colombia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	174	43.34234565	-11.66121732	COM	Comoros	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.049	0.049	0.048	0.018	0.02	0.019	2015	0.02	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	175	45.14015057	-12.82217691	MYT	Mayotte	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	178	15.22052612	-0.840544119	COG	Congo	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.533	0.475	0.466	0.458	0.46	0.459	2015	0.46	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1.122	1.06	1.036	1.026	1.29	1.158	2015	1.29	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	3.833	3.559	3.62	3.687	3.71	3.6985	2015	3.71	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	191	17.95874553	45.45172212	HRV	Croatia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	192	-79.54460144	22.10030366	CUB	Cuba	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	196	33.22285964	35.05659437	CYP	Cyprus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	203	15.33151382	49.73913871	CZE	Czechia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	204	2.339933594	9.65401646	BEN	Benin	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.234	0.221	0.216	0.203	0.2	0.2015	2015	0.2	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	208	9.326571283	56.03829721	DNK	Denmark	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1.218	1.167	1.144	1.188	1.18	1.184	2015	1.18	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	212	-61.3493756	15.43391378	DMA	Dominica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	222	-88.86862995	13.73603564	SLV	El Salvador	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.054	0.185	0.182	0.169	0.17	0.1695	2015	0.17	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	231	39.63505296	8.631223181	ETH	Ethiopia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1.685	1.602	1.57	1.587	1.58	1.5835	2015	1.58	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	232	38.11074289	16.12894644	ERI	Eritrea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.14	0.119	0.117	0.041	0.04	0.0405	2015	0.04	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	233	25.84093481	58.68487172	EST	Estonia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	242	177.9660884	-17.83301566	FJI	Fiji	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	246	23.308447	61.91586738	FIN	Finland	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.532	0.509	0.499	0.498	0.5	0.499	2015	0.5	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	248	19.80945969	60.1544901	ALA	Åland Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	250	2.457288129	46.62660861	FRA	France	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	3.884	3.721	3.648	3.76	3.74	3.75	2015	3.74	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	254	-53.23619089	3.922673437	GUF	French Guiana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	262	42.18274707	11.56004161	DJI	Djibouti	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.088	0.083	0.082	0.029	0.03	0.0295	2015	0.03	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	266	11.78727747	-0.60687619	GAB	Gabon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1.094	1.263	1.187	1.202	1.2	1.201	2015	1.2	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	268	43.3713615	42.04813028	GEO	Georgia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	270	-15.39944785	13.45295927	GMB	Gambia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.169	0.181	0.172	0.161	0.16	0.1605	2015	0.16	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	275	35.25694122	31.94347933	PSE	State of Palestine	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	276	10.3806066	51.08862743	DEU	Germany	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	4.261	4.082	4.002	4.126	4.11	4.118	2015	4.11	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	288	-1.205623522	7.964825185	GHA	Ghana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	2.149	2.268	2.23	2.137	2.13	2.1335	2015	2.13	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	296	-157.5643005	1.768837732	KIR	Kiribati	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	300	22.58307827	39.47301873	GRC	Greece	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	304	-41.39371316	74.75625681	GRL	Greenland	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	308	-61.68248568	12.11238395	GRD	Grenada	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	316	144.7029305	13.35485404	GUM	Guam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	320	-91.2312746	15.00273719	GTM	Guatemala	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	324	-11.28173419	11.00210343	GIN	Guinea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	0.505	0.439	0.421	0.412	0.41	0.411	2015	0.41	African Development Bank Group Annual Report 2015	G
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	328	-58.97322037	4.788012784	GUY	Guyana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	332	-72.33640958	18.40426539	HTI	Haiti	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	336	12.45315803	41.90343751	VAT	Holy See	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	340	-86.59974381	14.82243161	HND	Honduras	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
2017.Q2.G.01	SG_INT_VRTAFDB	Proportion of voting rights of developing countries in the African Development Bank	348	19.41221519	47.1651448	HUN	Hungary	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP										
