series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PERCENT	-8.68586279725822	-9.48528386596156	57.6569631685685	3.32227245460402	-1.98006760150658	5.84733360478849	5.76426277399084	12.9811423048176	-0.17969994870976	14.3013626651374	0.44897690228129	5.48579126610464	7.50553689847509	3.15942649839124	-0.89698921670349	-5.10838136218876	2.02907681681574	2015	-5.10838136218876	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PERCENT	6.70259076470543	8.21952682480957	4.56940435482556	5.73403024963888	5.96650336871789	6.26552712925879	6.99367092986091	7.38746161193879	9.05111267520643	4.6997002134198	4.7076622041069	3.10943341334639	1.60534043411807	1.02097938620455	1.7958605786025	2.3911886020473	1.98456048286376	2015	2.3911886020473	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PERCENT																					
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PERCENT	2.41158987184169	1.67408161740843	4.27938217815192	5.86144635298116	2.9577183872229	4.46543020601324	0.24922890019761	1.85288275447494	0.78480606981839	-0.09534561953321	1.77625878496488	0.99156876141053	1.40516971053288	0.78980487551565	1.8052809892648	1.88400623709829	1.37516611476443	2015	1.88400623709829	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PERCENT																					
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PERCENT	-0.74927652463639	0.88909696533041	1.56153286943676	6.56350872638188	2.76409163641752	3.5809738001987	1.84059838793771	-1.73383158557127	-9.3779473627966	-3.53065248937612	-4.17607735605534	-2.2223418831939	2.11843194144226	4.86536685419065	6.65623480729671	4.15195358915293	3.11392906177773	2015	4.15195358915293	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PERCENT	-0.07051955817877	-0.20119634581805	10.6418428522908	-0.59937218619594	7.07767100619209	11.064251860035	7.76649847435606	10.1847093440411	7.4774817127961	-2.81936088718904	1.28845837443657	0.06567510406599	4.98556642745258	1.5413128921516	0.74418726101824	-0.26352163743065	1.41464400945155	2015	-0.26352163743065	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PERCENT	3.88911005982956	-6.7855944061065	-0.24866277630061	4.96423395826118	4.75743267179443	5.19692680686433	11.5859178018303	8.08531348766761	-1.0694351825981	-13.0038787737672	-8.03595856817331	-2.78740731489156	2.76842248110043	-1.21600236931994	3.54985962669159	3.08593156720655	1.08016079815741	2015	3.08593156720655	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PERCENT	10.1398480208284	8.8575978141838	8.31616485772697	9.0111466836424	8.03086340152421	26.5106773731293	32.9334399044384	24.0140412642462	9.27768970951677	8.00824310946614	3.24776903099406	-2.97402215877054	0.64021869276368	4.34898212749999	1.24648228896158	-0.61696925733668	0.528938338623606	2015	-0.61696925733668	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PERCENT	-1.88504053657999	-5.46517279859391	-11.8772964633793	7.64374615282643	7.84913662185759	7.73015573051981	7.01280169094466	7.89434706152325	3.03194422125814	-6.97348161986054	9.21789374036609	5.04476901624625	-2.08619708961837	1.23689901696683	-3.559920866182	1.34253341810317	0.395616699103176	2015	1.34253341810317	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2017.Q2.G.01	NY_GDP_PCAP	Growth rate of real GDP per capita	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PERCENT	0.86079164069866	2.77325097652809	1.98440844732757	2.98368890639933	1.91449085942078	1.51588480434994	2.08623018906803	1.87877606138818	-0.05944525816881	0.14216897202156	0.56795302198802	1.88803533461841	0.79011715169034	0.91835664158207	0.73455172904152	0.94997892928373	1.05620795724321	2015	0.94997892928373	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
