series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CON_USD	175.326942	236.070164	300.742382	287.380238	385.196135	427.849711	415.032515	350.37614	318.191885	385.966782	379.4834066	2015	385.966782		
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CON_USD	31.08943	30.117796	49.311771	54.382121	61.644571	54.835689	45.542751	70.591048	52.285392	45.477426	53.7464612	2015	45.477426		
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CON_USD	160.452581	146.734895	194.823134	393.021192	324.962723	373.46371	178.438296	190.035549	213.771603	203.932408	231.9283132	2015	203.932408		
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_TRDDBMDL	Total official flows disbursed for Aid for Trade, by donor	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CON_USD															
