series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	HECTARES	2324	2268	2241	2213	2185	2015	2185	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	HECTARES	3.71	3.67	3.66	3.64	3.62	2015	3.62	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	HECTARES	413	397	389	380	380	2015	380	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	HECTARES	3327	3375	3651	3737	3823	2015	3823	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	HECTARES	39218	34868	33321	31773	29041	2015	29041	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	HECTARES	289	198	181	253	276	2015	276	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	HECTARES	7780	8273	8436	8534	8633.5	2015	8633.5	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	HECTARES	12944	11546	10731	10094	9457	2015	9457	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	HECTARES	24316	22116	21016	19916	18816	2015	18816	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	HECTARES	348273	347802	347576	347302	347069	2015	347069	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	HECTARES	57.75	82.09	83.59	85.09	89.903	2015	89.903	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	HECTARES	12.7	12.7	12.7	12.7	12.7	2015	12.7	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	HECTARES	22560	22404	22326	22248	22170	2015	22170	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	HECTARES	2284	2192	2118	2103	2070	2015	2070	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	HECTARES	6705	6326	6141	5508	4875	2015	4875	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	HECTARES	15263	15834	16042	16231	17735	2015	17735	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	HECTARES	157140.6	177000.5	193043.9	200610.3	208321.3	2015	208321.3	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	HECTARES									
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	HECTARES									
