series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	METONS	65755	2015	65755	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	METONS	2568	2015	2568	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	METONS	20748	2015	20748	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	METONS	17652	2015	17652	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	METONS	47271	2015	47271	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	METONS	909351	2015	909351	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	METONS	403	2015	403	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	METONS	24	2015	24	FAO estimates	E
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	METONS	62298	2015	62298	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	METONS	6271	2015	6271	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	METONS	125920	2015	125920	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_TOTL	Forest area as a proportion of total land area	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	METONS	74353.21	2015	74353.21	Official submission of country data to FAO Global Forest Resources Assessment	C
