series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1995	2000	2005	2007	2009	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	NUMBER				451.873394	508.290214		713.907	2014	713.907	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	NUMBER				2052.292359			1740.1305	2014	1740.1305	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	NUMBER	2532.31038963	3160.03263444	3825.8787699	4584.75552	4869.96251976	5188.201887555	4637.3056	2014	4637.3056	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	NUMBER	943.144303725	1113.35822665	1295.70824089	1469.78424672	1551.35859154	1642.332978968	1746.576	2014	1746.576	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	NUMBER	1257.251795946	1506.538866198	1843.911681018	2311.76778149	2508.93222858	2713.63055528	2602.782	2014	2602.782	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	NUMBER				1285.39926				2005	1285.39926	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	NUMBER	131669.895428	151437.43425734	169102.15647966	183543.800139	182934.18153	180559.660794	191106.72	2014	191106.72	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	NUMBER	7076.9651635351	6884.4708567093	6403.7277860236	5670.001136	5305.595272133	4898.8109567134	4881.715	2014	4881.715	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	NUMBER	79.821813162	91.368196062	101.39883	118.52093368	124.306848432		147.552	2014	147.552	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	NUMBER				1097.85594	1118.743021	1134.350752	1388.709	2014	1388.709	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	NUMBER				14491.129508	14375.101721	14079.348914	21778.02	2014	21778.02	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	NUMBER				291.430684			206.195	2014	206.195	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	NUMBER	1311.2970819869	1615.7076081771	1896.6565965421	2260.258256	2423.3000101048	2594.9130316948	2836.38	2014	2836.38	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	NUMBER	1134.899998584	1143.242462421	1144.85522123	1099.954647863	1066.797353076	1024.299913466	994.499	2014	994.499	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	NUMBER				1786.47499			3654.72	2014	3654.72	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	NUMBER				1079.411821				2005	1079.411821	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	NUMBER				157.158846			204.558	2014	204.558	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	NUMBER	5818.74897279	7561.58211408	8652.7522656	9729.20359626	10067.478016334	10427.105312734	13570.257	2014	13570.257	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	NUMBER											
