series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	NOTAP	0.695631	0.711207	0.6087	0.61389	0.774403	0.789973	0.825332	0.57862	0.561251	0.529061	0.632361	0.66326	0.59084	0.627544		0.62850125	2014	0.627544	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	NOTAP					1.699079	2.192461	1.630703	1.345125	1.530886	1.206414	1.160219	1.198223	1.316812	1.961601	1.909393	1.5092496	2015	1.909393	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	NOTAP									0.117007	0.089737	0.077413	0.125776	0.10729	0.108523	0.148013	0.113403	2015	0.148013	Combined IMF and FAO Questionaire. Official country publications.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	NOTAP											0.160095	0.213098	0.175964	0.142562		0.17292975	2014	0.142562	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	NOTAP	0.187979	0.293861	0.326764	0.314043	0.408699	0.574006	0.547075	0.352055	0.401405	0.286164	0.77496	0.821645	0.703259	0.539687	0.789715	0.7258532	2015	0.789715	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	NOTAP										0.029801	0.07846	0.084909	0.072711			0.0786933333333333	2013	0.072711	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	NOTAP	1.083932	1.013327	1.199439	1.620085	1.682042	1.548178	1.335872	1.140116	1.382216	1.189433	1.176617	0.914686	0.916043	0.881598		0.972236	2014	0.881598	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	NOTAP									0.905621	0.941851	0.772287	0.755365	0.656371	0.591591		0.6939035	2014	0.591591	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	NOTAP								0.406368	0.490171	0.446115	0.253434	0.650772				0.452103	2012	0.650772	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	NOTAP								0.032793	0.050202	0.04567							2010	0.04567	IMF data.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	NOTAP	0.364428	0.381762	0.416379	0.421379	0.507338	0.637855	0.5693	0.662825	0.64869	0.627311	0.599389	0.654413	0.515288	0.719317	0.784335	0.6545484	2015	0.784335	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	NOTAP	0.440411	0.411706	0.480045	0.501564	0.514043	0.521452	0.561307	0.584661	0.572968	0.531279	0.512439	0.561413	0.550668	0.482684	0.464879	0.5144166	2015	0.464879	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	NOTAP							0.260239	0.219401	0.207511	0.245824	0.258199	0.276633	0.269684	0.257201	0.319444	0.2762322	2015	0.319444	FAO questionnaires.UNSD national account estimates	C
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	NOTAP																				
2017.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures (index)	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	NOTAP																				
