series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.31229	0.31169	0.28712	0.29771	0.28403	0.26872	0.25447	0.23573	0.24342	0.23176	0.24629	0.215	0.21091	0.21415	0.19775	0.21682	2014	0.19775	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.19706	0.1858	0.19029	0.20274	0.21205	0.21604	0.2244	0.23451	0.2405	0.24566	0.26074	0.26907	0.28786	0.27239	0.27958	0.273928	2014	0.27958	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.60716	0.57237	0.57242	0.56315	0.55411	0.53203	0.55595	0.55452	0.57781	0.59378	0.59737	0.67631	0.63145	0.61285	0.60945	0.625486	2014	0.60945	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.22879	0.2187	0.21478	0.19959	0.19707	0.20312	0.17905	0.17478	0.16728	0.1943	0.12425	0.13739	0.16706	0.16394	0.20594	0.159716	2014	0.20594	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.15008	0.15095	0.14613	0.14169	0.14193	0.13785	0.1341	0.13272	0.13327	0.12442	0.13217	0.13375	0.14223	0.14758	0.15549	0.142244	2014	0.15549	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
