series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CON_USD			0.030519	0.182325	0.109138	0.150168	0.263262	0.20974	0.310936	0.367592	0.2603396	2015	0.367592		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CON_USD	2.062467	2.339219	1.875009	3.658058	4.545914	5.64971	5.212058	6.085407	5.219737	6.025446	5.6384716	2015	6.025446		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CON_USD	2.706696	2.413294	3.534084	6.725033	7.265938	9.752419	7.356836	8.802374	10.768989	11.938874	9.7238984	2015	11.938874		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CON_USD	1.266046	1.665642	1.594265	2.018313	1.572607	1.366502	1.304187	1.390155	0.913212	1.096097	1.2140306	2015	1.096097		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CON_USD	0.117705	0.104497	2.129147	3.104639	1.846767	2.174228	3.982682	7.473234	6.473426	9.954976	6.0117092	2015	9.954976		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CON_USD	4.771187	8.143176	4.109932	13.458842	9.221038	12.247498	13.270433	14.896373	22.287094	12.866518	15.1135832	2015	12.866518		
