series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT		1.3684				1.3684	2012	1.3684	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT				8.1584		8.1584	2014	8.1584	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT		3.8888				3.8888	2012	3.8888	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT				3.7059		3.7059	2014	3.7059	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT		1.6629				1.6629	2012	1.6629	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT			4.1341			4.1341	2013	4.1341	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT		8.23				8.23	2012	8.23	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT				3.9717		3.9717	2014	3.9717	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT	4.517					4.517	2011	4.517	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT		9.6265				9.6265	2012	9.6265	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT				2.2421		2.2421	2014	2.2421	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT		-5.347				-5.347	2012	-5.347	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	PERCENT		-1.5763				-1.5763	2012	-1.5763	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	PERCENT		0.3741				0.3741	2012	0.3741	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	PERCENT		0.3154				0.3154	2012	0.3154	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	PERCENT			-0.1758			-0.1758	2013	-0.1758	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	PERCENT				4.3816		4.3816	2014	4.3816	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	PERCENT				1.3456		1.3456	2014	1.3456	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	PERCENT		-1.2415				-1.2415	2012	-1.2415	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	PERCENT		1.0726				1.0726	2012	1.0726	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	PERCENT		0.3917				0.3917	2012	0.3917	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	PERCENT				3.9966		3.9966	2014	3.9966	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	PERCENT	0.1437					0.1437	2011	0.1437	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	PERCENT		-8.4034				-8.4034	2012	-8.4034	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	PERCENT				-3.1309		-3.1309	2014	-3.1309	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	PERCENT		-0.6659				-0.6659	2012	-0.6659	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	PERCENT		-4.5627				-4.5627	2012	-4.5627	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	356	79.3608464	22.34642074	IND	India	1	ANNUAL	PERCENT	3.6963					3.6963	2011	3.6963	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	PERCENT				3.4095		3.4095	2014	3.4095	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	PERCENT			-1.2			-1.2	2013	-1.2	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	PERCENT		1.111				1.111	2012	1.111	World Bank	G
