series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	112	28.04940161	53.54193075	BLR	Belarus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	116	104.922836	12.71163737	KHM	Cambodia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	120	12.7419827	5.692387031	CMR	Cameroon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	124	-101.6575058	57.72360191	CAN	Canada	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
