series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	NUMBER	65	65	65	65	65	65	65	69	69	70	70	70	67	67	67	67	69	69	67.8	2017	69	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	NUMBER	83	83	83	83	83	83	83	98	98	98	98	18	95	95	95	95	92	117	98.8	2017	117	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	NUMBER	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	2017	128	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	NUMBER	386	386	386	386	386	385	385	386	386	386	386	386	386	386	384	198	198	199	273	2017	199	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	NUMBER	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	2017	63	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	356	79.3608464	22.34642074	IND	India	1	ANNUAL	NUMBER	543	544	543	543	543	543	545	545	541	541	545	545	545	545	545	543	543	542	543.6	2017	542	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	NUMBER	500	500	500	500	500	550	550	550	550	550	560	560	560	560	560	555	555	560	558	2017	560	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	NUMBER	266	290	290	290	290	290	290	290	290	286	290	290	290	290	290	290	290	289	289.8	2017	289	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	NUMBER	250	250	250	250			275	275	275	275	275	325	325	325	325	328	328	328	326.8	2017	328	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	372	-7.121425272	53.25274054	IRL	Ireland	1	ANNUAL	NUMBER	166	166	166	166	166	166	166	166	166	166	165	165	166	166	166	166	166	158	164.4	2017	158	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	376	34.62277992	31.06164552	ISR	Israel	1	ANNUAL	NUMBER	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	2017	120	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	380	12.57022427	42.79917282	ITA	Italy	1	ANNUAL	NUMBER	630	630	630	618	618	616	616	630	630	630	630	630	630	630	630	630	630	630	630	2017	630	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	ANNUAL	NUMBER	223	225	223	223	223	223	223	223	203	203	203	203	254	249	254	251	251	253	251.6	2017	253	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	388	-77.31068409	18.15616857	JAM	Jamaica	1	ANNUAL	NUMBER	60	60	60	60	60	60	60	60	60	60	60	60	63	63	63	63	63	63	63	2017	63	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	392	139.2716103	36.6554539	JPN	Japan	1	ANNUAL	NUMBER	500	480	480	480	480	480	480	480	480	480	480	480	480	480	480	475	475	475	477	2017	475	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	398	66.65359159	48.01963494	KAZ	Kazakhstan	1	ANNUAL	NUMBER	77	77	77	77	77	77	77	77	107	107	107	107	107	107	115	107	107	107	108.6	2017	107	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	400	37.13024774	30.65365973	JOR	Jordan	1	ANNUAL	NUMBER	80	80	80	80	110	110	110	110	110	110	110	120	120	150	150	150	150	130	146	2017	130	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	404	37.86096816	0.534797278	KEN	Kenya	1	ANNUAL	NUMBER	224	224	224	224	224	224	224	219	207	224	224	224	224	224	350	350	350	350	324.8	2017	350	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	408	127.1803633	40.1462645	PRK	Democratic People's Republic of Korea	1	ANNUAL	NUMBER	687	687	687	687		687	687	687	687	687	687	687	687	687	687	687	687	687	687	2017	687	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	410	127.8610254	36.45201023	KOR	Republic of Korea	1	ANNUAL	NUMBER	299	273	273	273	271	299	299	299	299	299	299	299	299	300	300	300	300	300	300	2017	300	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	414	47.49305029	29.53949468	KWT	Kuwait	1	ANNUAL	NUMBER	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	2017	65	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	417	74.52324839	41.46204516	KGZ	Kyrgyzstan	1	ANNUAL	NUMBER	70	43	60	60	60	60	75	72	90	90	90	120	120	120	120	120	120	120	120	2017	120	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	418	101.9901968	20.27482773	LAO	Lao People's Democratic Republic	1	ANNUAL	NUMBER	99	99	99	109	109	109	109	115	115	115	115	115	132	132	132	132	132	149	135.4	2017	149	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	422	35.89391711	33.92152458	LBN	Lebanon	1	ANNUAL	NUMBER	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	2017	128	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	426	28.25362195	-29.58041814	LSO	Lesotho	1	ANNUAL	NUMBER	79	79	79	120	120	120	120	119	120	120	120	120	120	120	120	120	120	120	120	2017	120	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	428	26.42461876	56.64196636	LVA	Latvia	1	ANNUAL	NUMBER	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2017	100	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	430	-9.311879038	6.448381009	LBR	Liberia	1	ANNUAL	NUMBER	64	64	64	64	64	76	64	64	64	64	64	64	73	73	73	73	73	73	73	2017	73	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	434	18.0295985	27.04042819	LBY	Libya	1	ANNUAL	NUMBER							760	468	468	468	468	468	468	200	200	188	188	188	192.8	2017	188	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	438	9.552985019	47.14167005	LIE	Liechtenstein	1	ANNUAL	NUMBER	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	2017	25	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	440	23.90517807	55.33680309	LTU	Lithuania	1	ANNUAL	NUMBER	137	141	141	141	141	141	141	141	141	141	141	141	141	139	141	141	141	141	140.6	2017	141	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	442	6.092656563	49.77679538	LUX	Luxembourg	1	ANNUAL	NUMBER	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	2017	60	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	446	113.5665388	22.1237259	MAC	China, Macao Special Administrative Region	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	450	46.6982339	-19.38514785	MDG	Madagascar	1	ANNUAL	NUMBER	150	150	150	160	160	160	160	160	127	127		256	365	366	147	151	151	151	193.2	2017	151	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	454	33.4884625	-13.40819859	MWI	Malawi	1	ANNUAL	NUMBER	193	193	193	193	193	193	191	191	193	193	192	192	193	193	193	192	192	192	192.4	2017	192	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	458	116.8346314	5.452415309	MYS	Malaysia	1	ANNUAL	NUMBER	193	193	193	193	191	219	219	219	219	222	222	222	221	221	222	222	222	222	221.8	2017	222	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	462	73.09672546	-0.614385021	MDV	Maldives	1	ANNUAL	NUMBER	50	50	50	50	50	50	50	50	50	50	77	77	77	77	74	85	85	85	81.2	2017	85	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	466	-3.522016039	17.35311254	MLI	Mali	1	ANNUAL	NUMBER	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	2017	147	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	470	14.44617519	35.89194275	MLT	Malta	1	ANNUAL	NUMBER	65	65	65	65	65	65	65	65	65	69	69	69	69	69	70	70	70	72	70.2	2017	72	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	474	-60.91544135	14.56086108	MTQ	Martinique	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	478	-10.33187259	20.26089546	MRT	Mauritania	1	ANNUAL	NUMBER	79	79	81	81	81	81		95	95	95	95	95	95	95	147	147	147	147	136.6	2017	147	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	480	57.568022	-20.28581998	MUS	Mauritius	1	ANNUAL	NUMBER	66	70	70	70	70	70	70	70	70	70	70	69	69	69	69	69	69	69	69	2017	69	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	484	-102.5148166	23.93378032	MEX	Mexico	1	ANNUAL	NUMBER	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	498	500	499.6	2017	500	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	492	7.424214814	43.73532918	MCO	Monaco	1	ANNUAL	NUMBER	18	18	18	18	24	24	24	24	24	24	23	23	21	21	24	24	24	24	23.4	2017	24	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	496	103.0728057	46.83892054	MNG	Mongolia	1	ANNUAL	NUMBER	76	76	76	76	76	74	75	76	76	74	76	76	76	74	74	74	76	76	74.8	2017	76	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	498	28.4650624	47.20236795	MDA	Republic of Moldova	1	ANNUAL	NUMBER	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	2017	101	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	499	19.25214024	42.78717043	MNE	Montenegro	1	ANNUAL	NUMBER								81	81	81	81	81	81	81	81	81	81	81	81	2017	81	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	500	-62.19261223	16.73558313	MSR	Montserrat	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	504	-6.281942841	31.8440131	MAR	Morocco	1	ANNUAL	NUMBER	325	325	325	325	325	325	325	325	325	325	325	325	395	395	395	395	395	395	395	2017	395	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	508	38.18479941	-14.27963886	MOZ	Mozambique	1	ANNUAL	NUMBER	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	2017	250	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	512	57.87743482	21.98805614	OMN	Oman	1	ANNUAL	NUMBER						83	83	83	84	84	84	84	84	84	84	84	85	85	84.4	2017	85	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	516	17.21907885	-22.13817068	NAM	Namibia	1	ANNUAL	NUMBER	72	72	72	72	72	72	78	78	78	78	67	78	78	78	78	104	104	104	93.6	2017	104	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	520	166.92313	-0.528742623	NRU	Nauru	1	ANNUAL	NUMBER	18	18	18	18	18	18	18	18	18	18	18	18	18	18	19	19	19	19	18.8	2017	19	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	524	83.94678863	28.25866332	NPL	Nepal	1	ANNUAL	NUMBER	205	205	205					329	329	594	594	594	594	594	575	597	599	595	592	2017	595	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	528	5.331480568	51.86728884	NLD	Netherlands	1	ANNUAL	NUMBER	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	2017	150	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	530	-68.30676179	12.22720635	ANT	Netherlands Antilles	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	531	-68.95033464	12.15058042	CUW	Curaçao	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	533	-69.97050586	12.50878756	ABW	Aruba	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	534	-63.06198692	18.03926508	SXM	Sint Maarten (Dutch part)	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	540	165.5067368	-21.41742531	NCL	New Caledonia	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	548	167.0679779	-15.34445547	VUT	Vanuatu	1	ANNUAL	NUMBER	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	2017	52	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	554	170.4755673	-43.98721568	NZL	New Zealand	1	ANNUAL	NUMBER	120	120	120	120	120	120	121	121	121	122	122	122	121	121	121	121	121	120	120.8	2017	120	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	558	-85.03060315	12.84210839	NIC	Nicaragua	1	ANNUAL	NUMBER	93	93	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	2017	92	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	562	9.400167877	17.42143036	NER	Niger	1	ANNUAL	NUMBER	83	83	83	83	83	113	113	113	113	113	113		113	113	113	113	113	171	124.6	2017	171	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	566	8.097363256	9.585789025	NGA	Nigeria	1	ANNUAL	NUMBER		351	351	351	360	360	360	360	358	358	358	358	352	360	360	360	360	360	360	2017	360	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	570	-169.8601693	-19.05000475	NIU	Niue	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	574	167.9515548	-29.03230018	NFK	Norfolk Island	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	578	11.47846389	61.34311134	NOR	Norway	1	ANNUAL	NUMBER	165	165	165	165	165	165	169	169	169	169	169	169	169	169	169	169	169	169	169	2017	169	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	580	145.7582114	15.19099517	MNP	Northern Mariana Islands	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	581	-162.4343752	5.874443968	UMI	US Minor Outlying Islands	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	583	158.225216	6.880670092	FSM	Micronesia, Federated States of	1	ANNUAL	NUMBER	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	2017	14	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	584	171.0839119	7.110213497	MHL	Marshall Islands	1	ANNUAL	NUMBER	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	2017	33	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	585	134.5733878	7.502307591	PLW	Palau	1	ANNUAL	NUMBER	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	2017	16	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	586	68.80479684	29.36491634	PAK	Pakistan	1	ANNUAL	NUMBER				342	342	342	342	342	342	338	342	342	342	342	323	323	340	340	333.6	2017	340	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	591	-81.26616623	8.450965746	PAN	Panama	1	ANNUAL	NUMBER	72	71	71	71	71	78	78	78	78	78	71	71	71	71	71	57	71	71	68.2	2017	71	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	598	145.8587761	-6.756057077	PNG	Papua New Guinea	1	ANNUAL	NUMBER	109	109	109	109	109	109	109	109	109	109	109	109	109	111	111	111	111	111	111	2017	111	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	600	-60.54854225	-21.70216237	PRY	Paraguay	1	ANNUAL	NUMBER	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	2017	80	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	604	-71.82093277	-13.58939705	PER	Peru	1	ANNUAL	NUMBER	120	120	120	120	120	120	120	120	120	120	120	120	130	130	130	130	130	130	130	2017	130	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	608	120.8601418	14.16591706	PHL	Philippines	1	ANNUAL	NUMBER	217	222	214	214	214	236	236	236	239	239	267	280	284	284	289	290	290	292	289	2017	292	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	612	-128.3225873	-24.37538456	PCN	Pitcairn	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	616	19.40660158	52.1226733	POL	Poland	1	ANNUAL	NUMBER	460	460	460	460	460	460	460	460	460	460	460	460	460	460	460	460	460	460	460	2017	460	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	620	-7.961599811	39.68509315	PRT	Portugal	1	ANNUAL	NUMBER	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	2017	230	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	624	-14.40182514	12.11760394	GNB	Guinea-Bissau	1	ANNUAL	NUMBER	102	102	102	102		100	100	100	100	100	100	100	100	100	100	102	102	102	101.2	2017	102	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	626	125.9451052	-8.797497247	TLS	Timor-Leste	1	ANNUAL	NUMBER				88	88	87	87	87	65	65	65	65	65	65	65	65	65	65	65	2017	65	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	630	-66.47591017	18.22753799	PRI	Puerto Rico	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	634	51.19152467	25.28355379	QAT	Qatar	1	ANNUAL	NUMBER							35	35	35	35	35	35	35	35	35	35	35	35	35	2017	35	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	638	55.53171398	-21.13183266	REU	Réunion	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	642	24.98481009	45.83893563	ROU	Romania	1	ANNUAL	NUMBER	343	345	345	345	345	332	331	331	330	334	334	334	330	412	407	401	401	329	390	2017	329	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	643	99.01404926	61.61899849	RUS	Russian Federation	1	ANNUAL	NUMBER	441	441	449	449	450	447	447	447	450	450	450	450	450	450	450	450	450	450	450	2017	450	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	646	29.92310194	-1.999842114	RWA	Rwanda	1	ANNUAL	NUMBER	70	70	74	74	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	2017	80	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	652	-62.83173536	17.89513362	BLM	Saint Barthélemy	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	654	-5.705752501	-15.96503946	SHN	Saint Helena	1	ANNUAL	NUMBER																							
