series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								4.1423761521126	4.67457775655161	3.20523717599408	2.81582713078797	0.111759052700699	2.98995545362939	2015	0.111759052700699	Ministry of Transport and Communication of Armenia	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	52	-59.5346489	13.13648273	BRB	Barbados	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								21.2190032788747	20.6471271551191	20.3784376273521	0.046492767403327		15.5727652071873	2014	0.046492767403327	Division of Energy & Telecommunications	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP				2.67847393224498	2.12414454041245	1.949966862881	0.642246141404924	0.39862330275056	0.360702145867644	0.270098291895989	0.238756256494281	0.178344514030648	0.289304902207824	2015	0.178344514030648	Belgian Institute for Postal Services and Telecommunications	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	60	-64.78155012	32.27881922	BMU	Bermuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	64	90.45098484	27.39598568	BTN	Bhutan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP						0.479460415418811	1.21000531425965	1.81415874608769	2.26011091609577	2.71650394523753	3.26287437038895	3.57777145278385	2.72628388611876	2015	3.57777145278385	Ministry of Information & Communications	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP									1.01606425511502	1.27959367268911	1.37618569306719	1.38132973021415	1.26329333777137	2015	1.38132973021415	Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							6.94479799289066	3.42589134227345	2.61883671942734	2.19021352949764	1.23438262305523	0.840750177239793	2.06201487829869	2015	0.840750177239793	Communications Regulatory Agency B & H	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP											0.712405210079334	0.612292534903738	0.662348872491536	2015	0.612292534903738	Botswana Communications Regulatory Authority (BOCRA)	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								4.40095925189255	4.71211647506135	5.22934734231566	2.33366398778976	2.81342163137755	3.89790173768737	2015	2.81342163137755	Agência Nacional de Telecomunicaçoes	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP						0.270749727589231	1.00455289295031	2.87751359554825	2.67975066345738	3.06447725218439		3.64271370951501	3.06611380517626	2015	3.64271370951501	Belize Telemedia Limited	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												0.242950167840926	0.242950167840926	2015	0.242950167840926	Telecommunications Commission of the Solomon Islands	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												2.089424766474	2.089424766474	2015	2.089424766474	Authority for Info-communications Technology Industry of Brunei Darussalam	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP					1.5442406565065	0.438693738562114	0.283238656548261	0.204114973131498	0.065046852558132	0.020199522549188	0.036788514728938	0.032617982546849	0.071753569102921	2015	0.032617982546849	Communications Regulation Commission	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP												0.272709337385599	0.272709337385599	2015	0.272709337385599	Posts and Telecommunications Department, Ministry of communications and Information Technology	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							0.000303268158479	0.002934899115987	0.003492538607527			0.004485499766523	0.00363764583001233	2015	0.004485499766523	Agence de Régulation et de Contrôle des Télécommunications	
2017.Q2.G.01	IT_NET_BD256KL2M	Fixed Internet broadband Subscriptions per 100 inhabitants	112	28.04940161	53.54193075	BLR	Belarus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP								11.9136128864933	15.1755691621256	15.3794220555629	7.35554104174337	3.03703178926756	10.5722353870385	2015	3.03703178926756	Ministry of Communications and Informatization	
