series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2005	2010	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT	100	100	2010	100	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT		39	2010	39	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT	3	17	2010	17	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT	0	0	2010	0	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	59	62	2010	62	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT	0	4	2010	4	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT	1	24	2010	24	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT	1	4	2010	4	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT	75	78	2010	78	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT	44	82	2010	82	Official submission of country data to FAO Global Forest Resources Assessment	C
