series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT	42.9498600152711	47.5096998970623	52.0315973700393	56.5220121836337	60.9908670086326	65.4470657898838	69.8996551617012	74.3505940302669	82.3	83.25	84.21	88.336	91.2993045243401	95.3	96.8	98.3236096537251	94.011782835613	2015	98.3236096537251	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT	0.4009444469194	0.8646285642151	1.6758025837524	2.4369123994977	3.1569841961371	3.8471067449014	4.5183172581646	5.92	6.55	7.17	13.6	14.4	15.6	22.4	30.3	39.8	24.5	2015	39.8	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT	1.4427635847914	2.1204625341365	3.11719294697	3.5085964007234	4.4399246012004	5.227583956632	6.2006712547358	10.4992443168903	12.5	16.8	22.4	30	35.34	36.99	34.6	45.1	36.406	2015	45.1	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT	1.0829607497121	1.2005269512965	2.6482679136124	3.9650368338705	15.4689716227665	21.3267010007738	25.1223856852117	27.92	34.66	37.74	42.75	47.77	52.78	57.79	60.8	65.065502803344	56.8411005606688	2015	65.065502803344	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT	2.9026666217721	3.430886787026	3.3859223506427	3.3451901740614	3.3048892531611	3.2625540360512	4.2899329751597	5.28	6.25	6.15	6	8	11.5	15	18.5	27.5	16.1	2015	27.5	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT																				
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT	2.8706851585411	4.5284948690285	9.1494250856075	13.2075861035303	19.073672274442	21.022747248827	28.1783801797929	30.88	33.83	39.22	40.65	45.69	48.56	51.04	54.5510018796392	59.079477910505	51.7840959580288	2015	59.079477910505	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT	5.9638353027243		5.6842512135876		9.8	17	24	24.6	26.3	27.2	28.2	30.7	31	33.6	38.7	41.589999999835	35.117999999967	2015	41.589999999835	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT																				
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT	0.4812968061144	0.4685519635841	0.501919843401	0.5556098818551	0.6496726732515	0.8443075728057	1.6463479885744	2	3	4	5	6	6.9974	8	9	10.000464982561	7.9995729965122	2015	10.000464982561	ITU estimate.
