series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	1492716	2015	1492716		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	1857	2015	1857		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	255	2015	255		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	12283	2015	12283		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	50300	2015	50300		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	16492	2015	16492		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	1993	2015	1993		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	112	28.04940161	53.54193075	BLR	Belarus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	79962	2015	79962		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	116	104.922836	12.71163737	KHM	Cambodia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	5964	2015	5964		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	120	12.7419827	5.692387031	CMR	Cameroon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	15712	2015	15712		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	124	-101.6575058	57.72360191	CAN	Canada	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	317547	2015	317547		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	682	2015	682		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	140	20.93559492	7.003720791	CAF	Central African Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	1112	2015	1112		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	41475	2015	41475		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	148	18.66618401	15.36279341	TCD	Chad	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	5351	2015	5351		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	152	-71.23029019	-35.2652885	CHL	Chile	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	306889	2015	306889		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	156	104.1403375	32.30955217	CHN	China	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	4501733	2015	4501733		E
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	170	-73.07446751	3.888209046	COL	Colombia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	275601	2015	275601		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	174	43.34234565	-11.66121732	COM	Comoros	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	247	2015	247		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	175	45.14015057	-12.82217691	MYT	Mayotte	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	178	15.22052612	-0.840544119	COG	Congo	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	10687	2015	10687		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	8510	2015	8510		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	66897	2015	66897		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	191	17.95874553	45.45172212	HRV	Croatia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	43825	2015	43825		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	192	-79.54460144	22.10030366	CUB	Cuba	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	60185	2015	60185		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	196	33.22285964	35.05659437	CYP	Cyprus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	5932	2015	5932		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	203	15.33151382	49.73913871	CZE	Czechia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	79701	2015	79701		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	204	2.339933594	9.65401646	BEN	Benin	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	4662	2015	4662		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	208	9.326571283	56.03829721	DNK	Denmark	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	67321	2015	67321		E
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	212	-61.3493756	15.43391378	DMA	Dominica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	965	2015	965		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	113927	2015	113927		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	70978	2015	70978		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	222	-88.86862995	13.73603564	SLV	El Salvador	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	32172	2015	32172		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	23416	2015	23416		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	231	39.63505296	8.631223181	ETH	Ethiopia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	28512	2015	28512		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	232	38.11074289	16.12894644	ERI	Eritrea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	1141	2015	1141		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	233	25.84093481	58.68487172	EST	Estonia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	11901	2015	11901		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	242	177.9660884	-17.83301566	FJI	Fiji	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	1223	2015	1223		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	246	23.308447	61.91586738	FIN	Finland	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	73835	2015	73835		E
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	248	19.80945969	60.1544901	ALA	Åland Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	250	2.457288129	46.62660861	FRA	France	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	895930	2015	895930		E
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	254	-53.23619089	3.922673437	GUF	French Guiana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	262	42.18274707	11.56004161	DJI	Djibouti	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	724	2015	724		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	266	11.78727747	-0.60687619	GAB	Gabon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	41300	2015	41300		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	268	43.3713615	42.04813028	GEO	Georgia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	7734	2015	7734		E
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	270	-15.39944785	13.45295927	GMB	Gambia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	1190	2015	1190		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	275	35.25694122	31.94347933	PSE	State of Palestine	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	276	10.3806066	51.08862743	DEU	Germany	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	1016795	2015	1016795		E
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	288	-1.205623522	7.964825185	GHA	Ghana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	12608	2015	12608		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	296	-157.5643005	1.768837732	KIR	Kiribati	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	40	2015	40		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	300	22.58307827	39.47301873	GRC	Greece	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	99500	2015	99500		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	304	-41.39371316	74.75625681	GRL	Greenland	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	308	-61.68248568	12.11238395	GRD	Grenada	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	1000	2015	1000		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	316	144.7029305	13.35485404	GUM	Guam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP					
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	320	-91.2312746	15.00273719	GTM	Guatemala	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	50198	2015	50198		M
2017.Q2.G.01	IS_RDP_PSSGRKM	Passenger volume (passenger kilometres), by road transport	324	-11.28173419	11.00210343	GIN	Guinea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	KM	MP	3825	2015	3825		M
