series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PERCENT	7.29	8.93	11.74	12.72	9.24	12.67	12.33	12.84	5.77	-12.77	-1.31	0.67	5.28	0.61	4.1	1.11	2.46	2.712	2016	2.46	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PERCENT	2.67	-2.92	2.14	2.09	-1.41	2.77	4.88	-0.03	0.96	-2.1	1.18	0.6	1.88	-0.47	0.99	0.03	1.71	0.828	2016	1.71	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PERCENT	0.23	2.56	0.31	0.75	1.01	0.69	1.9	0.71	-0.55	-1.61	1.29	1.61	-0.17	-0.3	0.77	0.75	0.78	0.366	2016	0.78	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT	1.76	0.98	3.02	0.54	0.43	2.37	2.96	15.02	2.11	4.49	9.99	7.18	5.08	-0.1	3.15	2.25	3.36	2.748	2016	3.36	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT	0.7	-0.29	-0.15	0.12	0.3	2.97	1.7	1.57	0.85	1.15	4.81	-0.31	1.87	4.58	3.31	2.5	1.64	2.78	2016	1.64	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT	5.81	12.91	-1.11	-2.2	11.3	4.06	19.76	-0.25	-4.25	-1.54	3.55	2.34	-1.41	2.2	1.57	1.7	2.67	1.346	2016	2.67	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT	-4.1	1.02	6.63	5.79	-2.02	-0.31	2.03	6.09	-3.27	-7.67	8.79	3.02	1.94	6.71	1.54	-1.68	1.66	2.034	2016	1.66	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT	1.53	-1.49	0.32	-0.28	1.69	-1.49	2.79	4.19	1.69	-1.62	6.17	3.2	0.17	1.83	-1.97	-3.29	-1.17	-0.886	2016	-1.17	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
