series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	12	2.678164227	28.15940032	DZA	Algeria	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	12.9645937166667	14.2775342555556	14.2775342555556	14.8973139888889	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	2017	19.0018395722222	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	12	2.678164227	28.15940032	DZA	Algeria	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	12.9645937166667	14.2775342555556	14.2775342555556	14.8973139888889	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	19.0018395722222	2017	19.0018395722222	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	2017	90.9521307	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	2017	90.9521307	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	16	-170.7187269	-14.30587306	ASM	American Samoa	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	90.9521307	2017	90.9521307	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	7.9850855	16.1713119	19.3954378	19.3954378	19.3954378	19.3954378	18.75061262	2017	19.3954378	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	20	1.576257417	42.54548611	AND	Andorra	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	7.9850855	16.1713119	19.3954378	19.3954378	19.3954378	19.3954378	18.75061262	2017	19.3954378	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	20	1.576257417	42.54548611	AND	Andorra	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	5.7341404	7.9850855	16.1713119	19.3954378	19.3954378	19.3954378	19.3954378	18.75061262	2017	19.3954378	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	2017	15.1628508285714	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	24	17.57817062	-12.33724746	AGO	Angola	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	2017	15.1628508285714	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	24	17.57817062	-12.33724746	AGO	Angola	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	15.1628508285714	2017	15.1628508285714	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB																							
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB																							
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																							
2017.Q2.G.01	ER_PTD_MTN	Coverage by protected areas of important sites for mountain biodiversity	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	29.2141669043478	29.2141669043478	29.2141669043478	34.6339332565217	43.2298768478261	43.6065419391304	52.4200119086956	52.4200119086956	57.6137274391304	57.6137274391304	57.6137274391304	57.6137274391304	57.6137274391304	57.6137274391304	57.6137274391304	57.6137274391304	57.6137274391304	57.6137274391304	57.6137274391304	2017	57.6137274391304	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
