series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	CON_USD	79.48247	100.973	231.8874	5.986097	80.51574	58.38559	47.51858	120.1914	42.85086	67.13292	278.2885	45.22706	37.82842	60.91112	97.877604	2015	60.91112		
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	CON_USD																			
2017.Q2.G.01	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	CON_USD																			
