series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2012	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
2017.Q2.G.01	SE_ADT_GPINMRCY	Gender parity index in a given age group achieving at least a fixed level of proficiency in functional literacy skills	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP					
