series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	CON_USD	2729.7	2461.1	3222.8	2820.1	3247.9	4238.1	3791	3849.3	4353.8	3944.6	4512.8	4393.5	4538.8	4034.6	3644	4277.2	4088.6	4116.64	2016	4088.6		
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	CON_USD																						
2017.Q2.G.01	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	CON_USD																						
