series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT	34.17056755399	29.73585306296	34.34361957759	34.38218739653	25.73278879813	25.75160446874	25.60852161338	23.77675193778	28.57669616519	19.03270354335	18.25130507132	16.38719010982	16.60623360593	13.90858035785	11.1143921783	11.08718145588	7.34615524104	6.561350659	3.71113723851	4.06881692897	4.21020308424	2.50922853666	4.12485934592	2.26782721836	2.71846361938	4.9911943609	3.322314616244	2015	4.9911943609		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT									0.12783237358	8.04186332778	12.67424457813	11.97892994201	5.93508112771	5.22401401699	4.11632783621	3.58477174716	3.34136188148	3.14809402786	2.70535857832	3.28685321823	3.62899833452	3.68593415752	4.45392786374	7.05366509972	7.64173453381	7.47579384519	6.062211099996	2015	7.47579384519		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT	4.34045361312	3.43799182779	3.89738171904	3.61009893231	4.00285440632	3.14069546556	5.233149566	2.78736018952	2.58130965941	2.142752477	2.00167417981	1.69133019596	1.92838095948	1.22442551467	1.0178140991	0.91386338044	0.94418705371	0.71364550541	1.15550670104	1.00277784437	1.29281822908	0.9225364134	0.68075475817	1.94617002801	0.47712358752	1.88834456387	1.182985870194	2015	1.88834456387		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT	18.5979078922	16.63663300039	14.72620795629	13.07440928223	17.23212528314	23.64969695889	22.5987157771	20.70945103996	27.32055558173	41.3830762987	37.0146848644	22.91531452422	37.38603421041	39.50311878516	23.48561845732	30.16574509766	19.53542067416	10.82190619397	9.3040143549	7.09767158183	5.93155874084	6.75354743657	4.0396102429	7.16671758029	5.33723673952	12.11465633277	7.08235366641	2015	12.11465633277		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT	7.0143053106	6.19603267211	5.42531907554	5.9927184466	8.52187243752	11.74442369739	12.18152134286	10.28226401724	12.02750067404	10.62195965187	17.14126568694	21.81017353054	38.68029356793	29.0728381184	61.5101259324	36.84428887723	17.5768012265	78.93805673719	11.58897427112	13.10142568849	11.55746373521	9.33654897922	9.26974168502	10.78915248834	6.8810377151	7.38299170813	8.731894515162	2015	7.38299170813		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT	11.33606632969	10.29113615506	4.84437317253	5.66230643104	4.19670136775	1.2815308045	2.13686569217	0.46145852579	3.25699477236	2.5472042656	2.80034863192	1.79112860974	2.83586860932	5.59565829294	3.79659307153	4.81232845694	2.35004499909	4.9429134778	5.39797852502	3.51999073391	3.10085582156	1.46288081996	1.23586414173	1.2891150183	1.53135798469	1.62214122274	1.428271837484	2015	1.62214122274		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT	18.62059405941	5.40319618366	8.16675724989	6.1914075024	12.72707804268	16.11910021513	18.45412601752	14.21824038965	16.91007802164	13.94309170119	13.05347065172	15.12683644087	10.41478693345	7.10017921566	10.37570163928	14.69083004663	5.48879199066	3.97006424405	3.23866304688	2.51799144034	1.71474263962	1.28159454008	1.26505860909	5.07719556353	1.08703328983	4.32198343903	2.606573088312	2015	4.32198343903		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT	18.24837430976	26.95591575293	8.0092426323	12.93566668288	14.41128546586	19.11011982341	11.59481826421	7.70879154774	5.14590313306	4.88324589282	0.4382853061	0.19632635373	0.242533242	0.18794704133	0.15468461822	0.12990813678	0.12413338551	0.14498947035	0.09347717865	0.09915955913	0.04660262179	0.02301926663	9.68036737462	0.54162050053	0.46118206358	0.40260283703	2.221758408478	2015	0.40260283703		
