series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	CON_USD	323.219856	255.518482	329.89087	479.302162	454.899097	603.235889	577.104153	475.691583	619.475805	398.17563	713.242809	556.737996	2015	713.242809		
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	CON_USD					0.090323	0.12678	9.549826	8.062702	7.340609	6.275638	10.381308	8.3220166	2015	10.381308		
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	CON_USD	398.334381	245.210134	322.725531	210.865362	303.442522	318.896116	253.283015	339.392524	359.177764	374.743874	119.778772	289.2751898	2015	119.778772		
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	CON_USD																
2017.Q2.G.01	DC_TOF_TRDCMDL	Total official flows commitments for Aid for Trade, by donor	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	CON_USD	76.203432	86.128689	110.492917	171.822905	319.088335	241.988613	286.920052	116.107083	124.808592	141.871258	89.191704	151.7797378	2015	89.191704		
