geoAreaCode	sliceId	Age	Freq	Location	Sex	Units	Bounds	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
132	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-23.63544151	15.07791834	53	CPV	Cabo Verde	2012-2016	
136	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-81.16740559	19.32266656	58	CYM	Cayman Islands	2012-2016	
140	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	20.93559492	7.003720791	40	CAF	Central African Republic	2012-2016	
144	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	80.70489654	7.614693343	132	LKA	Sri Lanka	2012-2016	
148	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	18.66618401	15.36279341	222	TCD	Chad	2012-2016	
152	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-71.23029019	-35.2652885	44	CHL	Chile	2012-2016	
156	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	104.1403375	32.30955217	45	CHN	China	2012-2016	
162	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	105.6426067	-10.4882473	57	CXR	Christmas Island	2012-2016	
166	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands	2012-2016	
170	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-73.07446751	3.888209046	51	COL	Colombia	2012-2016	
174	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	43.34234565	-11.66121732	52	COM	Comoros	2012-2016	
175	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	45.14015057	-12.82217691	160	MYT	Mayotte	2012-2016	
178	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	15.22052612	-0.840544119	49	COG	Congo	2012-2016	
180	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	2012-2016	
184	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-159.7711391	-21.22696458	50	COK	Cook Islands	2012-2016	
188	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-84.19712782	9.970998683	54	CRI	Costa Rica	2012-2016	
191	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	17.95874553	45.45172212	101	HRV	Croatia	2012-2016	
192	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-79.54460144	22.10030366	55	CUB	Cuba	2012-2016	
196	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	33.22285964	35.05659437	59	CYP	Cyprus	2012-2016	
