series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CON_USD	20.860416	8.595398	5.404582	15.365851	19.1925	15.06122	17.83981	16.420184	8.758682	18.802172	21.871587	28.269483	30.644236	20.070049	18.631144	26.153529	24.7536882	2015	26.153529		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CON_USD	161.097372	236.546546	110.774218	132.68238	141.475395	120.550124	88.642557	81.919429	80.001352	140.936589	143.211522	91.722923	134.208704	138.874351	219.22195	149.83596	146.7727776	2015	149.83596		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CON_USD	108.113929	148.80512	119.045751	99.878007	67.734557	113.88994	139.439228	113.452321	94.339109	122.688794	85.243886	68.79526	63.053416	93.534292	66.421221	101.60614	78.6820658	2015	101.60614		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CON_USD	21.131637	29.751273	10.315483	6.492965	5.570498	20.237854	13.109128	17.676052	16.431107	11.013382	37.922784	30.154016	9.961012	24.71076	40.597722	14.86941	24.058584	2015	14.86941		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CON_USD	1758.839426	1909.136322	525.358475	568.8297	356.662997	157.65462	1120.816124	196.453943	456.336826	1092.341896	1610.260375	580.909189	1145.15036	1353.037143	1121.603685	683.367184	976.8135122	2015	683.367184		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CON_USD	17.165549	16.448595	0.755579	0.923412	1.001371	1.745936	1.931029	1.876355	1.366161	7.704137	2.966557	4.34388	12.528082	16.617917	8.856199	7.374734	9.9441624	2015	7.374734		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CON_USD	12.791183	12.077144	16.946601	87.825306	104.651501	134.048463	120.828982	53.634868	132.180063	124.075715	177.174809	54.411011	38.774382	34.947588	30.834085	34.0829	38.6099932	2015	34.0829		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CON_USD	0.455747	7.427274	2.93548	12.776818	17.436525	25.01689	30.774006	24.445039	13.046392	8.899709	11.352211	20.331295	25.778184	688.629363	102.726952	183.150622	204.1232832	2015	183.150622		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CON_USD	13.072274	4.160793	24.086606	12.890476	20.741774	20.360302	40.666529	75.167321	51.526253	50.82131	68.456574	99.349907	84.747265	98.38669	87.695263	71.289993	88.2938236	2015	71.289993		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CON_USD						15.625463	19.262636	14.504692	14.884763	82.470788	19.663208	12.924275	26.886151	25.305192	40.824626	15.440351	24.276119	2015	15.440351		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CON_USD	26.551059	77.013433	26.220031	55.556963	87.156358	89.259755	124.545512	140.678953	123.144782	97.938057	105.869741	93.138111	126.247951	133.000034	109.080959	113.882783	115.0699676	2015	113.882783		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	CON_USD	102.13088	77.088139	28.021355	36.947381	39.975407	34.146168	52.445468	85.454811	66.047392	53.522599	55.622149	60.731888	79.339468	56.115252	56.851559	48.200658	60.247765	2015	48.200658		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	CON_USD	21.265701	14.889963	13.07613	24.604871	14.763633	29.248321	30.060084	28.880124	26.071294	19.639045	39.343162	15.221989	17.697914	15.180675	13.640585	42.06414	20.7610606	2015	42.06414		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	CON_USD																					
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	CON_USD	23.063183	14.398572	7.504975	7.380269	8.494621	7.418764	45.423571	17.312208	38.667703	36.454998	13.987141	20.194184	18.597133	7.493172	39.733131	28.797375	22.962999	2015	28.797375		
2017.Q2.G.01	DC_FTA_TOTAL	Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) disbursed to developing countries	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	CON_USD	115.664788	201.605886	42.495977	110.759208	56.995377	104.761481	122.639377	125.841004	86.108375	81.176038	143.833866	90.335801	61.565599	97.680012	126.376563	127.65844	100.723283	2015	127.65844		
