geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
68	2015	ANNUAL	METONS	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	AG_LND_FRSTBIOM	Above-ground biomass in forest	7426	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
70	2010	ANNUAL	METONS	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	AG_LND_FRSTBIOM	Above-ground biomass in forest	190.15	Float		FAO estimates	E
70	2015	ANNUAL	METONS	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	AG_LND_FRSTBIOM	Above-ground biomass in forest	190.15	Float		FAO estimates	E
72	2010	ANNUAL	METONS	1	23.81380223	-22.18810073	39	BWA	Botswana	AG_LND_FRSTBIOM	Above-ground biomass in forest	881	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
72	2015	ANNUAL	METONS	1	23.81380223	-22.18810073	39	BWA	Botswana	AG_LND_FRSTBIOM	Above-ground biomass in forest	868	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
74	2010	ANNUAL	METONS	1	3.410732868	-54.43295905	38	BVT	Bouvet Island							
74	2015	ANNUAL	METONS	1	3.410732868	-54.43295905	38	BVT	Bouvet Island							
76	2010	ANNUAL	METONS	1	-53.08432878	-10.77668561	34	BRA	Brazil	AG_LND_FRSTBIOM	Above-ground biomass in forest	97450.13	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
76	2015	ANNUAL	METONS	1	-53.08432878	-10.77668561	34	BRA	Brazil	AG_LND_FRSTBIOM	Above-ground biomass in forest	96824.72	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
84	2010	ANNUAL	METONS	1	-88.70199554	17.19965901	31	BLZ	Belize	AG_LND_FRSTBIOM	Above-ground biomass in forest	294	Float		FAO estimates	E
84	2015	ANNUAL	METONS	1	-88.70199554	17.19965901	31	BLZ	Belize	AG_LND_FRSTBIOM	Above-ground biomass in forest	289	Float		FAO estimates	E
86	2010	ANNUAL	METONS	1	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory							
86	2015	ANNUAL	METONS	1	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory							
90	2010	ANNUAL	METONS	1	160.1584117	-9.622391719	204	SLB	Solomon Islands	AG_LND_FRSTBIOM	Above-ground biomass in forest	312	Float		FAO estimates	E
90	2015	ANNUAL	METONS	1	160.1584117	-9.622391719	204	SLB	Solomon Islands	AG_LND_FRSTBIOM	Above-ground biomass in forest	307.5	Float		FAO estimates	E
92	2010	ANNUAL	METONS	1	-64.63294223	18.42256578	254	VGB	British Virgin Islands							
