series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PERCENT	31.9661	32.2118	2015	32.2118	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PERCENT	19.5019	19.5019	2015	19.5019	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT	104.714	100	2015	100	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT	41.4835	41.7854	2015	41.7854	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT	0	0	2015	0	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT						
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT	5	5	2015	5	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT	14.9621		2010	14.9621	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT	7.1657	15.3783	2015	15.3783	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT	50.5833	56.3804	2015	56.3804	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT	13.992	15.8603	2015	15.8603	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT	32.6954	32.6954	2015	32.6954	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT	48.3897	48.3897	2015	48.3897	Official submission of country data to FAO Global Forest Resources Assessment	C
