series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	72	23.81380223	-22.18810073	BWA	Botswana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	94729.668	2015	94729.668		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	1493939000	2015	1493939000		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	2463420.011	2015	2463420.011		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	3691584.78	2015	3691584.78		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	115147000	2015	115147000		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	100	25.23763153	42.75731323	BGR	Bulgaria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	1583340	2015	1583340		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	104	96.51752295	21.19332882	MMR	Myanmar	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	3365967.775849	2015	3365967.775849		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	108	29.89080992	-3.366387428	BDI	Burundi	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	112	28.04940161	53.54193075	BLR	Belarus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	1807000	2015	1807000		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	116	104.922836	12.71163737	KHM	Cambodia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	2301260	2015	2301260		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	120	12.7419827	5.692387031	CMR	Cameroon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	124	-101.6575058	57.72360191	CAN	Canada	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	2074830881.067	2015	2074830881.067		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	1728152.448	2015	1728152.448		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	140	20.93559492	7.003720791	CAF	Central African Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	381381300	2015	381381300		
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	148	18.66618401	15.36279341	TCD	Chad	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP					
2017.Q2.G.01	IS_TRP_FRGHTKM	Freight volume (tonne kilometres), by air transport	152	-71.23029019	-35.2652885	CHL	Chile	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	T_KM	MP	1392236000	2015	1392236000		
