geoAreaCode	sliceId	Freq	Location	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
92	2	ANNUAL	RURAL	NOTAP	-64.63294223	18.42256578	254	VGB	British Virgin Islands	2013-2017	
96	1	ANNUAL	URBAN	NOTAP	114.6288563	4.49736984	36	BRN	Brunei Darussalam	2013-2017	
96	2	ANNUAL	RURAL	NOTAP	114.6288563	4.49736984	36	BRN	Brunei Darussalam	2013-2017	
100	1	ANNUAL	URBAN	NOTAP	25.23763153	42.75731323	25	BGR	Bulgaria	2013-2017	
100	2	ANNUAL	RURAL	NOTAP	25.23763153	42.75731323	25	BGR	Bulgaria	2013-2017	
104	1	ANNUAL	URBAN	NOTAP	96.51752295	21.19332882	149	MMR	Myanmar	2013-2017	
104	2	ANNUAL	RURAL	NOTAP	96.51752295	21.19332882	149	MMR	Myanmar	2013-2017	
108	1	ANNUAL	URBAN	NOTAP	29.89080992	-3.366387428	20	BDI	Burundi	2013-2017	0
108	2	ANNUAL	RURAL	NOTAP	29.89080992	-3.366387428	20	BDI	Burundi	2013-2017	0
112	1	ANNUAL	URBAN	NOTAP	28.04940161	53.54193075	30	BLR	Belarus	2013-2017	0
112	2	ANNUAL	RURAL	NOTAP	28.04940161	53.54193075	30	BLR	Belarus	2013-2017	0
116	1	ANNUAL	URBAN	NOTAP	104.922836	12.71163737	121	KHM	Cambodia	2013-2017	0.5
116	2	ANNUAL	RURAL	NOTAP	104.922836	12.71163737	121	KHM	Cambodia	2013-2017	0
120	1	ANNUAL	URBAN	NOTAP	12.7419827	5.692387031	47	CMR	Cameroon	2013-2017	
120	2	ANNUAL	RURAL	NOTAP	12.7419827	5.692387031	47	CMR	Cameroon	2013-2017	
124	1	ANNUAL	URBAN	NOTAP	-101.6575058	57.72360191	41	CAN	Canada	2013-2017	
124	2	ANNUAL	RURAL	NOTAP	-101.6575058	57.72360191	41	CAN	Canada	2013-2017	
132	1	ANNUAL	URBAN	NOTAP	-23.63544151	15.07791834	53	CPV	Cabo Verde	2013-2017	
132	2	ANNUAL	RURAL	NOTAP	-23.63544151	15.07791834	53	CPV	Cabo Verde	2013-2017	
136	1	ANNUAL	URBAN	NOTAP	-81.16740559	19.32266656	58	CYM	Cayman Islands	2013-2017	
136	2	ANNUAL	RURAL	NOTAP	-81.16740559	19.32266656	58	CYM	Cayman Islands	2013-2017	
140	1	ANNUAL	URBAN	NOTAP	20.93559492	7.003720791	40	CAF	Central African Republic	2013-2017	
140	2	ANNUAL	RURAL	NOTAP	20.93559492	7.003720791	40	CAF	Central African Republic	2013-2017	
144	1	ANNUAL	URBAN	NOTAP	80.70489654	7.614693343	132	LKA	Sri Lanka	2013-2017	
144	2	ANNUAL	RURAL	NOTAP	80.70489654	7.614693343	132	LKA	Sri Lanka	2013-2017	
148	1	ANNUAL	URBAN	NOTAP	18.66618401	15.36279341	222	TCD	Chad	2013-2017	
148	2	ANNUAL	RURAL	NOTAP	18.66618401	15.36279341	222	TCD	Chad	2013-2017	
152	1	ANNUAL	URBAN	NOTAP	-71.23029019	-35.2652885	44	CHL	Chile	2013-2017	0.5
152	2	ANNUAL	RURAL	NOTAP	-71.23029019	-35.2652885	44	CHL	Chile	2013-2017	
156	1	ANNUAL	URBAN	NOTAP	104.1403375	32.30955217	45	CHN	China	2013-2017	
156	2	ANNUAL	RURAL	NOTAP	104.1403375	32.30955217	45	CHN	China	2013-2017	
162	1	ANNUAL	URBAN	NOTAP	105.6426067	-10.4882473	57	CXR	Christmas Island	2013-2017	
162	2	ANNUAL	RURAL	NOTAP	105.6426067	-10.4882473	57	CXR	Christmas Island	2013-2017	
166	1	ANNUAL	URBAN	NOTAP	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands	2013-2017	
166	2	ANNUAL	RURAL	NOTAP	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands	2013-2017	
170	1	ANNUAL	URBAN	NOTAP	-73.07446751	3.888209046	51	COL	Colombia	2013-2017	0
170	2	ANNUAL	RURAL	NOTAP	-73.07446751	3.888209046	51	COL	Colombia	2013-2017	1
174	1	ANNUAL	URBAN	NOTAP	43.34234565	-11.66121732	52	COM	Comoros	2013-2017	
174	2	ANNUAL	RURAL	NOTAP	43.34234565	-11.66121732	52	COM	Comoros	2013-2017	
175	1	ANNUAL	URBAN	NOTAP	45.14015057	-12.82217691	160	MYT	Mayotte	2013-2017	
175	2	ANNUAL	RURAL	NOTAP	45.14015057	-12.82217691	160	MYT	Mayotte	2013-2017	
178	1	ANNUAL	URBAN	NOTAP	15.22052612	-0.840544119	49	COG	Congo	2013-2017	
178	2	ANNUAL	RURAL	NOTAP	15.22052612	-0.840544119	49	COG	Congo	2013-2017	
180	1	ANNUAL	URBAN	NOTAP	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	2013-2017	
180	2	ANNUAL	RURAL	NOTAP	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	2013-2017	
184	1	ANNUAL	URBAN	NOTAP	-159.7711391	-21.22696458	50	COK	Cook Islands	2013-2017	
184	2	ANNUAL	RURAL	NOTAP	-159.7711391	-21.22696458	50	COK	Cook Islands	2013-2017	
188	1	ANNUAL	URBAN	NOTAP	-84.19712782	9.970998683	54	CRI	Costa Rica	2013-2017	1
188	2	ANNUAL	RURAL	NOTAP	-84.19712782	9.970998683	54	CRI	Costa Rica	2013-2017	1
191	1	ANNUAL	URBAN	NOTAP	17.95874553	45.45172212	101	HRV	Croatia	2013-2017	
191	2	ANNUAL	RURAL	NOTAP	17.95874553	45.45172212	101	HRV	Croatia	2013-2017	
192	1	ANNUAL	URBAN	NOTAP	-79.54460144	22.10030366	55	CUB	Cuba	2013-2017	0
192	2	ANNUAL	RURAL	NOTAP	-79.54460144	22.10030366	55	CUB	Cuba	2013-2017	0
196	1	ANNUAL	URBAN	NOTAP	33.22285964	35.05659437	59	CYP	Cyprus	2013-2017	
196	2	ANNUAL	RURAL	NOTAP	33.22285964	35.05659437	59	CYP	Cyprus	2013-2017	
203	1	ANNUAL	URBAN	NOTAP	15.33151382	49.73913871	60	CZE	Czechia	2013-2017	
203	2	ANNUAL	RURAL	NOTAP	15.33151382	49.73913871	60	CZE	Czechia	2013-2017	
204	1	ANNUAL	URBAN	NOTAP	2.339933594	9.65401646	22	BEN	Benin	2013-2017	
204	2	ANNUAL	RURAL	NOTAP	2.339933594	9.65401646	22	BEN	Benin	2013-2017	
208	1	ANNUAL	URBAN	NOTAP	9.326571283	56.03829721	64	DNK	Denmark	2013-2017	
208	2	ANNUAL	RURAL	NOTAP	9.326571283	56.03829721	64	DNK	Denmark	2013-2017	
212	1	ANNUAL	URBAN	NOTAP	-61.3493756	15.43391378	63	DMA	Dominica	2013-2017	
212	2	ANNUAL	RURAL	NOTAP	-61.3493756	15.43391378	63	DMA	Dominica	2013-2017	
214	1	ANNUAL	URBAN	NOTAP	-70.49847576	18.89832088	65	DOM	Dominican Republic	2013-2017	
214	2	ANNUAL	RURAL	NOTAP	-70.49847576	18.89832088	65	DOM	Dominican Republic	2013-2017	0.5
218	1	ANNUAL	URBAN	NOTAP	-78.37005241	-1.447785891	67	ECU	Ecuador	2013-2017	
