series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	12	2.678164227	28.15940032	DZA	Algeria	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	15.3846153846154	22.8846684230769	22.8846684230769	30.3503354153846	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	2017	48.9539094230769	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	12	2.678164227	28.15940032	DZA	Algeria	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB	15.3846153846154	22.8846684230769	22.8846684230769	30.3503354153846	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	47.1885838230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	48.9539094230769	2017	48.9539094230769	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																							
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB																							
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	16	-170.7187269	-14.30587306	ASM	American Samoa	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB																							
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP																							
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	20	1.576257417	42.54548611	AND	Andorra	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB																							
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	20	1.576257417	42.54548611	AND	Andorra	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	LB																							
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	2017	33.3331239166667	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2017.Q2.G.01	ER_PTD_FRHWTR	Proportion of important sites for freshwater biodiversity that are covered by protected areas	24	17.57817062	-12.33724746	AGO	Angola	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	UB	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	33.3331239166667	2017	33.3331239166667	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
