series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PERCENT	19.35	20.27	21.21	20.14	20.1	19.74	18.12	14.84	14.28	17.43	19.57	14.16	15.28	19.48	41.75	22.048	2014	41.75		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PERCENT	36.56	35.67	34.25	34.23	32.12	30.76	29.37	27.67	27.16	28.26	30.19	30.27	30.28	30.03	29.17	29.988	2014	29.17		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PERCENT																				
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PERCENT	42.8	41.48	43.02	45.31	45.39	46.35	46.91	47.42	47.26	49.11	47.01	45.47	43.62	42.45	41.81	44.072	2014	41.81		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT	34.55	29.61	31.19	30.17	32.02	31.01	36.8	32.31	34.06	26.62	33.71	31.02	37.11	35.72	36.54	34.82	2014	36.54		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT																				
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT	66.31	66.55	66.5	65.21	65.75	67.08	66.46	64.01	64.3	64.01	64.61	63.67	63.53	63.43	62.96	63.64	2014	62.96		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT	1.05	1.06	1.03	0.97	0.94	0.94	0.87	0.86	0.83	0.83	0.85	0.83	0.87	0.88	0.87	0.86	2014	0.87		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0.01	0.01	0.01	2014	0.01		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT	7.98	7.28	8.73	9.16	9.6	9.89	10	8.87	9.95	11.66	14.37	13.28	15.75	18.16	16.97	15.706	2014	16.97		
