geoAreaCode	years	Freq	Location	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
44	2012	ANNUAL	URBAN	mgr/m^3	2	-78.05111663	24.69546597	27	BHS	Bahamas	12.57887076185877	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
48	2012	ANNUAL	ALLAREA	mgr/m^3	1	50.5490754	26.04407747	26	BHR	Bahrain	60.00567189263835	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
48	2012	ANNUAL	URBAN	mgr/m^3	2	50.5490754	26.04407747	26	BHR	Bahrain	60.08975978930891	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
50	2012	ANNUAL	ALLAREA	mgr/m^3	1	89.17660788	22.86961622	24	BGD	Bangladesh	83.52590957511592	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
50	2012	ANNUAL	URBAN	mgr/m^3	2	89.17660788	22.86961622	24	BGD	Bangladesh	88.76261869282388	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
51	2012	ANNUAL	ALLAREA	mgr/m^3	1	44.93839317	40.29499741	11	ARM	Armenia	20.73251522878235	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
51	2012	ANNUAL	URBAN	mgr/m^3	2	44.93839317	40.29499741	11	ARM	Armenia	24.95202975758594	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
52	2012	ANNUAL	ALLAREA	mgr/m^3	1	-59.5346489	13.13648273	35	BRB	Barbados	14.00000095518011	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
52	2012	ANNUAL	URBAN	mgr/m^3	2	-59.5346489	13.13648273	35	BRB	Barbados	14.00000095518011	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
56	2012	ANNUAL	ALLAREA	mgr/m^3	1	4.660976456	50.64104975	21	BEL	Belgium	15.49997257861354	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
56	2012	ANNUAL	URBAN	mgr/m^3	2	4.660976456	50.64104975	21	BEL	Belgium	15.92496811203654	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
60	2012	ANNUAL	ALLAREA	mgr/m^3	1	-64.78155012	32.27881922	32	BMU	Bermuda					
60	2012	ANNUAL	URBAN	mgr/m^3	2	-64.78155012	32.27881922	32	BMU	Bermuda					
64	2012	ANNUAL	ALLAREA	mgr/m^3	1	90.45098484	27.39598568	37	BTN	Bhutan	48.34098548218609	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
64	2012	ANNUAL	URBAN	mgr/m^3	2	90.45098484	27.39598568	37	BTN	Bhutan	38.99999752099087	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
68	2012	ANNUAL	ALLAREA	mgr/m^3	1	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	27.12560272227186	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
68	2012	ANNUAL	URBAN	mgr/m^3	2	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	31.64687470636540	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
70	2012	ANNUAL	ALLAREA	mgr/m^3	1	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	41.59930820192978	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
70	2012	ANNUAL	URBAN	mgr/m^3	2	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	55.05240001004035	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
