series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	31	50.01064725	40.39229544	AZE	Azerbaijan	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	31	50.01064725	40.39229544	AZE	Azerbaijan	3	18+	ANNUAL	MALE	NUMBER	3	2014	3		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	31	50.01064725	40.39229544	AZE	Azerbaijan	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	32	-65.14563274	-35.19446255	ARG	Argentina	1	18+	ANNUAL	FEMALE	NUMBER	186	2014	186		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	32	-65.14563274	-35.19446255	ARG	Argentina	2	<18Y	ANNUAL	MALE	NUMBER	6	2014	6		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	32	-65.14563274	-35.19446255	ARG	Argentina	3	18+	ANNUAL	MALE	NUMBER	133	2014	133		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	32	-65.14563274	-35.19446255	ARG	Argentina	4	<18Y	ANNUAL	FEMALE	NUMBER	19	2014	19		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	36	134.3499412	-25.57717202	AUS	Australia	1	18+	ANNUAL	FEMALE	NUMBER	25	2014	25		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	36	134.3499412	-25.57717202	AUS	Australia	2	<18Y	ANNUAL	MALE	NUMBER	1	2014	1		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	36	134.3499412	-25.57717202	AUS	Australia	3	18+	ANNUAL	MALE	NUMBER	5	2014	5		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	36	134.3499412	-25.57717202	AUS	Australia	4	<18Y	ANNUAL	FEMALE	NUMBER	2	2014	2		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	40	14.14172472	47.58704857	AUT	Austria	1	18+	ANNUAL	FEMALE	NUMBER	19	2014	19		
