geoAreaCode	sliceId	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
208	1	ANNUAL	CON_USD	9.326571283	56.03829721	64	DNK	Denmark	2012-2016	6893.01093552871
212	1	ANNUAL	CON_USD	-61.3493756	15.43391378	63	DMA	Dominica	2012-2016	169.228072161877
214	1	ANNUAL	CON_USD	-70.49847576	18.89832088	65	DOM	Dominican Republic	2012-2016	884.32051383689
218	1	ANNUAL	CON_USD	-78.37005241	-1.447785891	67	ECU	Ecuador	2012-2016	644.481679534596
222	1	ANNUAL	CON_USD	-88.86862995	13.73603564	206	SLV	El Salvador	2012-2016	727.154571469222
226	1	ANNUAL	CON_USD	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	2012-2016	26.4058544399765
231	1	ANNUAL	CON_USD	39.63505296	8.631223181	73	ETH	Ethiopia	2012-2016	17.9003252938347
232	1	ANNUAL	CON_USD	38.11074289	16.12894644	69	ERI	Eritrea	2012-2016	29.2904191091454
233	1	ANNUAL	CON_USD	25.84093481	58.68487172	72	EST	Estonia	2012-2016	2486.29253790864
234	1	ANNUAL	CON_USD	-7.122044325	62.21228119	78	FRO	Faroe Islands	2012-2016	
238	1	ANNUAL	CON_USD	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)	2012-2016	
239	1	ANNUAL	CON_USD	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands	2012-2016	
242	1	ANNUAL	CON_USD	177.9660884	-17.83301566	75	FJI	Fiji	2012-2016	517.141854910701
246	1	ANNUAL	CON_USD	23.308447	61.91586738	74	FIN	Finland	2012-2016	6833.30443752324
248	1	ANNUAL	CON_USD	19.80945969	60.1544901	5	ALA	Åland Islands	2012-2016	
250	1	ANNUAL	CON_USD	2.457288129	46.62660861	77	FRA	France	2012-2016	4356.1248453983
254	1	ANNUAL	CON_USD	-53.23619089	3.922673437	95	GUF	French Guiana	2012-2016	
258	1	ANNUAL	CON_USD	-149.4052367	-17.67709294	191	PYF	French Polynesia	2012-2016	
260	1	ANNUAL	CON_USD	69.64849091	-49.6068576	14	ATF	French Southern Territories	2012-2016	
262	1	ANNUAL	CON_USD	42.18274707	11.56004161	62	DJI	Djibouti	2012-2016	47.8103094388024
266	1	ANNUAL	CON_USD	11.78727747	-0.60687619	80	GAB	Gabon	2012-2016	450.1237434737
268	1	ANNUAL	CON_USD	43.3713615	42.04813028	82	GEO	Georgia	2012-2016	410.192722034452
270	1	ANNUAL	CON_USD	-15.39944785	13.45295927	88	GMB	Gambia	2012-2016	26.2647489788095
275	1	ANNUAL	CON_USD	35.25694122	31.94347933	189	PSE	State of Palestine	2012-2016	
276	1	ANNUAL	CON_USD	10.3806066	51.08862743	61	DEU	Germany	2012-2016	9310.1492227216
288	1	ANNUAL	CON_USD	-1.205623522	7.964825185	84	GHA	Ghana	2012-2016	92.1015114802764
292	1	ANNUAL	CON_USD	-5.347561686	36.13895036	85	GIB	Gibraltar	2012-2016	
296	1	ANNUAL	CON_USD	-157.5643005	1.768837732	122	KIR	Kiribati	2012-2016	78.9090436378476
300	1	ANNUAL	CON_USD	22.58307827	39.47301873	91	GRC	Greece	2012-2016	1605.93669124744
304	1	ANNUAL	CON_USD	-41.39371316	74.75625681	93	GRL	Greenland	2012-2016	
308	1	ANNUAL	CON_USD	-61.68248568	12.11238395	92	GRD	Grenada	2012-2016	247.004561848583
312	1	ANNUAL	CON_USD	-61.64762115	16.14416917	87	GLP	Guadeloupe	2012-2016	
316	1	ANNUAL	CON_USD	144.7029305	13.35485404	96	GUM	Guam	2012-2016	
320	1	ANNUAL	CON_USD	-91.2312746	15.00273719	94	GTM	Guatemala	2012-2016	544.901401383461
324	1	ANNUAL	CON_USD	-11.28173419	11.00210343	86	GIN	Guinea	2012-2016	29.042948968038
328	1	ANNUAL	CON_USD	-58.97322037	4.788012784	97	GUY	Guyana	2012-2016	222.243102567059
332	1	ANNUAL	CON_USD	-72.33640958	18.40426539	102	HTI	Haiti	2012-2016	73.0445167306316
334	1	ANNUAL	CON_USD	73.52633626	-53.09106147	99	HMD	Heard Island and McDonald Islands	2012-2016	
336	1	ANNUAL	CON_USD	12.45315803	41.90343751	250	VAT	Holy See	2012-2016	
340	1	ANNUAL	CON_USD	-86.59974381	14.82243161	100	HND	Honduras	2012-2016	371.185473195112
344	1	ANNUAL	CON_USD	114.0266445	22.41749934	98	HKG	China, Hong Kong Special Administrative Region	2012-2016	521.772417394472
348	1	ANNUAL	CON_USD	19.41221519	47.1651448	103	HUN	Hungary	2012-2016	2540.86621056942
352	1	ANNUAL	CON_USD	-19.02116966	64.79134763	111	ISL	Iceland	2012-2016	6116.76722603172
356	1	ANNUAL	CON_USD	79.3608464	22.34642074	106	IND	India	2012-2016	282.400014469744
360	1	ANNUAL	CON_USD	113.9174	-0.994582204	104	IDN	Indonesia	2012-2016	804.359637728903
364	1	ANNUAL	CON_USD	54.19766348	32.74370885	109	IRN	Iran (Islamic Republic of)	2012-2016	706.777960820481
368	1	ANNUAL	CON_USD	43.76606267	33.05013795	110	IRQ	Iraq	2012-2016	115.044429072818
372	1	ANNUAL	CON_USD	-7.121425272	53.25274054	108	IRL	Ireland	2012-2016	10783.1965987106
376	1	ANNUAL	CON_USD	34.62277992	31.06164552	112	ISR	Israel	2012-2016	4176.82436404925
380	1	ANNUAL	CON_USD	12.57022427	42.79917282	113	ITA	Italy	2012-2016	4873.08110003007
384	1	ANNUAL	CON_USD	-5.552690016	7.62211586	46	CIV	Côte d'Ivoire	2012-2016	152.764062533449
388	1	ANNUAL	CON_USD	-77.31068409	18.15616857	114	JAM	Jamaica	2012-2016	366.73830970155
392	1	ANNUAL	CON_USD	139.2716103	36.6554539	117	JPN	Japan	2012-2016	8456.52912026836
398	1	ANNUAL	CON_USD	66.65359159	48.01963494	118	KAZ	Kazakhstan	2012-2016	1081.31119852008
400	1	ANNUAL	CON_USD	37.13024774	30.65365973	116	JOR	Jordan	2012-2016	659.990297938624
404	1	ANNUAL	CON_USD	37.86096816	0.534797278	119	KEN	Kenya	2012-2016	116.990925464089
408	1	ANNUAL	CON_USD	127.1803633	40.1462645	183	PRK	Democratic People's Republic of Korea	2012-2016	
410	1	ANNUAL	CON_USD	127.8610254	36.45201023	124	KOR	Republic of Korea	2012-2016	7123.30113910159
414	1	ANNUAL	CON_USD	47.49305029	29.53949468	125	KWT	Kuwait	2012-2016	2476.50736375095
417	1	ANNUAL	CON_USD	74.52324839	41.46204516	120	KGZ	Kyrgyzstan	2012-2016	142.309122313893
418	1	ANNUAL	CON_USD	101.9901968	20.27482773	126	LAO	Lao People's Democratic Republic	2012-2016	143.929561645764
422	1	ANNUAL	CON_USD	35.89391711	33.92152458	127	LBN	Lebanon	2012-2016	664.12020284203
426	1	ANNUAL	CON_USD	28.25362195	-29.58041814	133	LSO	Lesotho	2012-2016	124.506749009689
428	1	ANNUAL	CON_USD	26.42461876	56.64196636	136	LVA	Latvia	2012-2016	1528.7172064244
430	1	ANNUAL	CON_USD	-9.311879038	6.448381009	128	LBR	Liberia	2012-2016	16.3620928404533
434	1	ANNUAL	CON_USD	18.0295985	27.04042819	129	LBY	Libya	2012-2016	259.845529208694
438	1	ANNUAL	CON_USD	9.552985019	47.14167005	131	LIE	Liechtenstein	2012-2016	
440	1	ANNUAL	CON_USD	23.90517807	55.33680309	134	LTU	Lithuania	2012-2016	2680.45928593631
442	1	ANNUAL	CON_USD	6.092656563	49.77679538	135	LUX	Luxembourg	2012-2016	5125.15706280853
446	1	ANNUAL	CON_USD	113.5665388	22.1237259	137	MAC	China, Macao Special Administrative Region	2012-2016	535.338980709483
450	1	ANNUAL	CON_USD	46.6982339	-19.38514785	142	MDG	Madagascar	2012-2016	55.5438884382899
454	1	ANNUAL	CON_USD	33.4884625	-13.40819859	158	MWI	Malawi	2012-2016	45.8573161086593
458	1	ANNUAL	CON_USD	116.8346314	5.452415309	159	MYS	Malaysia	2012-2016	2441.72740043111
462	1	ANNUAL	CON_USD	73.09672546	-0.614385021	143	MDV	Maldives	2012-2016	268.250353175945
466	1	ANNUAL	CON_USD	-3.522016039	17.35311254	147	MLI	Mali	2012-2016	40.0350598946042
470	1	ANNUAL	CON_USD	14.44617519	35.89194275	148	MLT	Malta	2012-2016	2239.27007304167
474	1	ANNUAL	CON_USD	-60.91544135	14.56086108	156	MTQ	Martinique	2012-2016	
478	1	ANNUAL	CON_USD	-10.33187259	20.26089546	154	MRT	Mauritania	2012-2016	108.818124381328
480	1	ANNUAL	CON_USD	57.568022	-20.28581998	157	MUS	Mauritius	2012-2016	1264.89245939827
484	1	ANNUAL	CON_USD	-102.5148166	23.93378032	144	MEX	Mexico	2012-2016	1573.41246053051
492	1	ANNUAL	CON_USD	7.424214814	43.73532918	140	MCO	Monaco	2012-2016	
496	1	ANNUAL	CON_USD	103.0728057	46.83892054	151	MNG	Mongolia	2012-2016	214.776044262596
498	1	ANNUAL	CON_USD	28.4650624	47.20236795	141	MDA	Republic of Moldova	2012-2016	187.809477050191
499	1	ANNUAL	CON_USD	19.25214024	42.78717043	150	MNE	Montenegro	2012-2016	307.371436161945
500	1	ANNUAL	CON_USD	-62.19261223	16.73558313	155	MSR	Montserrat	2012-2016	
504	1	ANNUAL	CON_USD	-6.281942841	31.8440131	139	MAR	Morocco	2012-2016	474.33708481241
508	1	ANNUAL	CON_USD	38.18479941	-14.27963886	153	MOZ	Mozambique	2012-2016	42.8128604114642
512	1	ANNUAL	CON_USD	57.87743482	21.98805614	173	OMN	Oman	2012-2016	1621.30697336403
516	1	ANNUAL	CON_USD	17.21907885	-22.13817068	161	NAM	Namibia	2012-2016	605.303944836005
520	1	ANNUAL	CON_USD	166.92313	-0.528742623	171	NRU	Nauru	2012-2016	
524	1	ANNUAL	CON_USD	83.94678863	28.25866332	170	NPL	Nepal	2012-2016	39.4327026727517
528	1	ANNUAL	CON_USD	5.331480568	51.86728884	168	NLD	Netherlands	2012-2016	5454.71292721183
530	1	ANNUAL	CON_USD	-68.30676179	12.22720635	8	ANT	Netherlands Antilles	2012-2016	
531	1	ANNUAL	CON_USD	-68.95033464	12.15058042	56	CUW	Curaçao	2012-2016	
533	1	ANNUAL	CON_USD	-69.97050586	12.50878756	1	ABW	Aruba	2012-2016	
534	1	ANNUAL	CON_USD	-63.06198692	18.03926508	218	SXM	Sint Maarten (Dutch part)	2012-2016	
540	1	ANNUAL	CON_USD	165.5067368	-21.41742531	162	NCL	New Caledonia	2012-2016	
548	1	ANNUAL	CON_USD	167.0679779	-15.34445547	257	VUT	Vanuatu	2012-2016	104.113653225996
554	1	ANNUAL	CON_USD	170.4755673	-43.98721568	172	NZL	New Zealand	2012-2016	3669.92744413292
558	1	ANNUAL	CON_USD	-85.03060315	12.84210839	166	NIC	Nicaragua	2012-2016	259.03092977458
562	1	ANNUAL	CON_USD	9.400167877	17.42143036	163	NER	Niger	2012-2016	24.3065308006614
566	1	ANNUAL	CON_USD	8.097363256	9.585789025	165	NGA	Nigeria	2012-2016	233.936743291396
570	1	ANNUAL	CON_USD	-169.8601693	-19.05000475	167	NIU	Niue	2012-2016	
574	1	ANNUAL	CON_USD	167.9515548	-29.03230018	164	NFK	Norfolk Island	2012-2016	
578	1	ANNUAL	CON_USD	11.47846389	61.34311134	169	NOR	Norway	2012-2016	6564.53156962493
580	1	ANNUAL	CON_USD	145.7582114	15.19099517	152	MNP	Northern Mariana Islands	2012-2016	
581	1	ANNUAL	CON_USD	-162.4343752	5.874443968	245	UMI	US Minor Outlying Islands	2012-2016	
583	1	ANNUAL	CON_USD	158.225216	6.880670092	79	FSM	Micronesia, Federated States of	2012-2016	
584	1	ANNUAL	CON_USD	171.0839119	7.110213497	145	MHL	Marshall Islands	2012-2016	63.2714909056349
585	1	ANNUAL	CON_USD	134.5733878	7.502307591	179	PLW	Palau	2012-2016	113.378624455189
586	1	ANNUAL	CON_USD	68.80479684	29.36491634	174	PAK	Pakistan	2012-2016	142.663934400793
591	1	ANNUAL	CON_USD	-81.26616623	8.450965746	175	PAN	Panama	2012-2016	632.042266328395
598	1	ANNUAL	CON_USD	145.8587761	-6.756057077	180	PNG	Papua New Guinea	2012-2016	101.485563305759
600	1	ANNUAL	CON_USD	-60.54854225	-21.70216237	187	PRY	Paraguay	2012-2016	396.820041694192
604	1	ANNUAL	CON_USD	-71.82093277	-13.58939705	177	PER	Peru	2012-2016	848.923255269416
608	1	ANNUAL	CON_USD	120.8601418	14.16591706	178	PHL	Philippines	2012-2016	562.528232663211
612	1	ANNUAL	CON_USD	-128.3225873	-24.37538456	176	PCN	Pitcairn	2012-2016	
616	1	ANNUAL	CON_USD	19.40660158	52.1226733	181	POL	Poland	2012-2016	2348.10783585499
620	1	ANNUAL	CON_USD	-7.961599811	39.68509315	186	PRT	Portugal	2012-2016	2576.33079512425
624	1	ANNUAL	CON_USD	-14.40182514	12.11760394	89	GNB	Guinea-Bissau	2012-2016	59.536453777001
626	1	ANNUAL	CON_USD	125.9451052	-8.797497247	228	TLS	Timor-Leste	2012-2016	7.36224816700262
630	1	ANNUAL	CON_USD	-66.47591017	18.22753799	182	PRI	Puerto Rico	2012-2016	12479.2222390697
634	1	ANNUAL	CON_USD	51.19152467	25.28355379	192	QAT	Qatar	2012-2016	6938.13926438509
638	1	ANNUAL	CON_USD	55.53171398	-21.13183266	193	REU	Réunion	2012-2016	
642	1	ANNUAL	CON_USD	24.98481009	45.83893563	194	ROU	Romania	2012-2016	1847.75058675419
643	1	ANNUAL	CON_USD	99.01404926	61.61899849	195	RUS	Russian Federation	2012-2016	1476.86987269781
646	1	ANNUAL	CON_USD	29.92310194	-1.999842114	196	RWA	Rwanda	2012-2016	33.6544772494551
652	1	ANNUAL	CON_USD	-62.83173536	17.89513362	29	BLM	Saint Barthélemy	2012-2016	
654	1	ANNUAL	CON_USD	-5.705752501	-15.96503946	202	SHN	Saint Helena	2012-2016	
659	1	ANNUAL	CON_USD	-62.76628613	17.33994219	123	KNA	Saint Kitts and Nevis	2012-2016	1185.28422917278
660	1	ANNUAL	CON_USD	-63.05651612	18.21525315	4	AIA	Anguilla	2012-2016	
662	1	ANNUAL	CON_USD	-60.96529553	13.89405601	130	LCA	Saint Lucia	2012-2016	191.810752007571
663	1	ANNUAL	CON_USD	-63.04505461	18.0882685	138	MAF	Saint Martin (French Part)	2012-2016	
666	1	ANNUAL	CON_USD	-56.33682442	46.85812735	209	SPM	Saint Pierre and Miquelon	2012-2016	
670	1	ANNUAL	CON_USD	-61.19024321	13.24627968	251	VCT	Saint Vincent and the Grenadines	2012-2016	300.678983882755
674	1	ANNUAL	CON_USD	12.46329038	43.93841766	207	SMR	San Marino	2012-2016	15183.1549619624
678	1	ANNUAL	CON_USD	6.609772265	0.241554875	212	STP	Sao Tome and Principe	2012-2016	64.0019685213144
682	1	ANNUAL	CON_USD	44.54763347	24.12594211	197	SAU	Saudi Arabia	2012-2016	2371.27606234016
686	1	ANNUAL	CON_USD	-14.46636926	14.35920905	199	SEN	Senegal	2012-2016	122.517152632062
688	1	ANNUAL	CON_USD	20.805876	44.03145697	210	SRB	Serbia	2012-2016	659.28775806428
690	1	ANNUAL	CON_USD	55.46561591	-4.678053059	219	SYC	Seychelles	2012-2016	1062.59983047932
694	1	ANNUAL	CON_USD	-11.78306584	8.568604164	205	SLE	Sierra Leone	2012-2016	11.4418050018696
702	1	ANNUAL	CON_USD	103.8107883	1.361009155	200	SGP	Singapore	2012-2016	9603.1848229399
703	1	ANNUAL	CON_USD	19.48495604	48.70741446	214	SVK	Slovakia	2012-2016	3625.86243780879
704	1	ANNUAL	CON_USD	105.802499	10.09643079	256	VNM	Viet Nam	2012-2016	313.601876220176
705	1	ANNUAL	CON_USD	14.82209486	46.11958061	215	SVN	Slovenia	2012-2016	4242.96480822112
706	1	ANNUAL	CON_USD	46.20367477	4.406485729	208	SOM	Somalia	2012-2016	
