series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	NUMBER	1			2			2	2013	2	Global Status Report on Violence Prevention	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	NUMBER	148	128	141	109	116	129	124.6	2015	129	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	NUMBER	801	1055	1436	1250	1348	1304	1278.6	2015	1304	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	NUMBER	347	349	451	416	436		413	2014	436	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	NUMBER	486	373	340	333	340		346.5	2014	340	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	NUMBER	331	268					268	2011	268	Global Status Report on Violence Prevention	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	NUMBER	999	835	880				857.5	2012	880	National Statistical Office	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	NUMBER	554	605	548	509	521	604	557.4	2015	604	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	NUMBER	39	53	56	54	65	46	54.8	2015	46	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	NUMBER	605.742589709					641.580521618	641.580521618	2015	641.580521618	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	NUMBER	763	732	676	598			668.666666666667	2013	598	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	NUMBER	1151.11867331					1266.49300443	1266.49300443	2015	1266.49300443	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	NUMBER	541	636	434	556	638		566	2014	638	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	NUMBER	13410	12015	11286	10640	10083		11006	2014	10083	National Statistical Office	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	NUMBER	15013	15803	14670	15419	13343	12782	14403.4	2015	12782	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	NUMBER	58.830130539					59.886757771	59.886757771	2015	59.886757771	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	NUMBER	432.853974916					465.716857417	465.716857417	2015	465.716857417	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	NUMBER	9212.68166015					10321.8899564	10321.8899564	2015	10321.8899564	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	NUMBER			0.6280951				0.6280951	2012	0.6280951	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	NUMBER	527	474	407	411	477	566	467	2015	566	Overseas Security Advisory Council - United States	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	NUMBER	62	49	51	46	36	37	43.8	2015	37	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	NUMBER	505	534					534	2011	534	Global Status Report on Violence Prevention	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	NUMBER	8	9	22	12	11	15	13.8	2015	15	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	NUMBER	103	86	105	98	69	79	87.4	2015	79	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	NUMBER	604.212732446					653.886097975	653.886097975	2015	653.886097975	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	NUMBER	42	46	47	48	73	56	54	2015	56	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	NUMBER	15	6					6	2011	6	Organzation of American States	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	NUMBER	2474	2513	2268		1810		2197	2014	1810	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	NUMBER	2638	2345	1924	1725	1309		1825.75	2014	1309	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	NUMBER	3987	4371	2594	2513	3921	6656	4011	2015	6656	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	NUMBER	24.656695908					27.095464594	27.095464594	2015	27.095464594	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	NUMBER	7418.71719964					7552.01164366	7552.01164366	2015	7552.01164366	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	NUMBER	389.337700322					389.898916434	389.898916434	2015	389.898916434	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	NUMBER	70	65	63	52	41	42	52.6	2015	42	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	NUMBER	24		26				26	2012	26	Global Status Report on Violence Prevention	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	NUMBER	119	110	88	90	89	88	93	2015	88	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	NUMBER	796	856	784	777	792	1017	845.2	2015	1017	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	NUMBER	63.11415296					60.140082245	60.140082245	2015	60.140082245	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	NUMBER	142.986761489					155.240825232	155.240825232	2015	155.240825232	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	NUMBER	187				108		108	2014	108	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	NUMBER	166.104122743					180.524457309	180.524457309	2015	180.524457309	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	NUMBER	30	23	26				24.5	2012	26	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	NUMBER	793	738	659	682	716	682	695.4	2015	682	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	NUMBER	422	423					423	2011	423	Global Status Report on Violence Prevention	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	NUMBER	4	11	8				9.5	2012	8	Global Status Report on Violence Prevention	C
