geoAreaCode	sliceId	Age	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
218	1	15+	ANNUAL	PERCENT	-78.37005241	-1.447785891	67	ECU	Ecuador	2010-2014	50.08765
222	1	15+	ANNUAL	PERCENT	-88.86862995	13.73603564	206	SLV	El Salvador	2010-2014	31.179835
226	1	15+	ANNUAL	PERCENT	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	2010-2014	
231	1	15+	ANNUAL	PERCENT	39.63505296	8.631223181	73	ETH	Ethiopia	2010-2014	
232	1	15+	ANNUAL	PERCENT	38.11074289	16.12894644	69	ERI	Eritrea	2010-2014	
233	1	15+	ANNUAL	PERCENT	25.84093481	58.68487172	72	EST	Estonia	2010-2014	97.9469
234	1	15+	ANNUAL	PERCENT	-7.122044325	62.21228119	78	FRO	Faroe Islands	2010-2014	
238	1	15+	ANNUAL	PERCENT	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)	2010-2014	
239	1	15+	ANNUAL	PERCENT	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands	2010-2014	
242	1	15+	ANNUAL	PERCENT	177.9660884	-17.83301566	75	FJI	Fiji	2010-2014	
246	1	15+	ANNUAL	PERCENT	23.308447	61.91586738	74	FIN	Finland	2010-2014	99.732085
248	1	15+	ANNUAL	PERCENT	19.80945969	60.1544901	5	ALA	Åland Islands	2010-2014	
250	1	15+	ANNUAL	PERCENT	2.457288129	46.62660861	77	FRA	France	2010-2014	98.24837
254	1	15+	ANNUAL	PERCENT	-53.23619089	3.922673437	95	GUF	French Guiana	2010-2014	
258	1	15+	ANNUAL	PERCENT	-149.4052367	-17.67709294	191	PYF	French Polynesia	2010-2014	
260	1	15+	ANNUAL	PERCENT	69.64849091	-49.6068576	14	ATF	French Southern Territories	2010-2014	
262	1	15+	ANNUAL	PERCENT	42.18274707	11.56004161	62	DJI	Djibouti	2010-2014	
266	1	15+	ANNUAL	PERCENT	11.78727747	-0.60687619	80	GAB	Gabon	2010-2014	32.05935
268	1	15+	ANNUAL	PERCENT	43.3713615	42.04813028	82	GEO	Georgia	2010-2014	43.67101
270	1	15+	ANNUAL	PERCENT	-15.39944785	13.45295927	88	GMB	Gambia	2010-2014	
275	1	15+	ANNUAL	PERCENT	35.25694122	31.94347933	189	PSE	State of Palestine	2010-2014	28.379865
276	1	15+	ANNUAL	PERCENT	10.3806066	51.08862743	61	DEU	Germany	2010-2014	97.62241
288	1	15+	ANNUAL	PERCENT	-1.205623522	7.964825185	84	GHA	Ghana	2010-2014	39.8229
292	1	15+	ANNUAL	PERCENT	-5.347561686	36.13895036	85	GIB	Gibraltar	2010-2014	
296	1	15+	ANNUAL	PERCENT	-157.5643005	1.768837732	122	KIR	Kiribati	2010-2014	
300	1	15+	ANNUAL	PERCENT	22.58307827	39.47301873	91	GRC	Greece	2010-2014	87.134175
304	1	15+	ANNUAL	PERCENT	-41.39371316	74.75625681	93	GRL	Greenland	2010-2014	
308	1	15+	ANNUAL	PERCENT	-61.68248568	12.11238395	92	GRD	Grenada	2010-2014	
312	1	15+	ANNUAL	PERCENT	-61.64762115	16.14416917	87	GLP	Guadeloupe	2010-2014	
316	1	15+	ANNUAL	PERCENT	144.7029305	13.35485404	96	GUM	Guam	2010-2014	
320	1	15+	ANNUAL	PERCENT	-91.2312746	15.00273719	94	GTM	Guatemala	2010-2014	39.467345
324	1	15+	ANNUAL	PERCENT	-11.28173419	11.00210343	86	GIN	Guinea	2010-2014	6.9382
328	1	15+	ANNUAL	PERCENT	-58.97322037	4.788012784	97	GUY	Guyana	2010-2014	
332	1	15+	ANNUAL	PERCENT	-72.33640958	18.40426539	102	HTI	Haiti	2010-2014	25.37748
334	1	15+	ANNUAL	PERCENT	73.52633626	-53.09106147	99	HMD	Heard Island and McDonald Islands	2010-2014	
336	1	15+	ANNUAL	PERCENT	12.45315803	41.90343751	250	VAT	Holy See	2010-2014	
340	1	15+	ANNUAL	PERCENT	-86.59974381	14.82243161	100	HND	Honduras	2010-2014	32.967755
344	1	15+	ANNUAL	PERCENT	114.0266445	22.41749934	98	HKG	China, Hong Kong Special Administrative Region	2010-2014	95.01256
348	1	15+	ANNUAL	PERCENT	19.41221519	47.1651448	103	HUN	Hungary	2010-2014	74.56179
352	1	15+	ANNUAL	PERCENT	-19.02116966	64.79134763	111	ISL	Iceland	2010-2014	
356	1	15+	ANNUAL	PERCENT	79.3608464	22.34642074	106	IND	India	2010-2014	49.560505
360	1	15+	ANNUAL	PERCENT	113.9174	-0.994582204	104	IDN	Indonesia	2010-2014	35.65828
364	1	15+	ANNUAL	PERCENT	54.19766348	32.74370885	109	IRN	Iran (Islamic Republic of)	2010-2014	85.532575
368	1	15+	ANNUAL	PERCENT	43.76606267	33.05013795	110	IRQ	Iraq	2010-2014	12.81637
372	1	15+	ANNUAL	PERCENT	-7.121425272	53.25274054	108	IRL	Ireland	2010-2014	96.3833
376	1	15+	ANNUAL	PERCENT	34.62277992	31.06164552	112	ISR	Israel	2010-2014	93.79267
380	1	15+	ANNUAL	PERCENT	12.57022427	42.79917282	113	ITA	Italy	2010-2014	82.568125
384	1	15+	ANNUAL	PERCENT	-5.552690016	7.62211586	46	CIV	Côte d'Ivoire	2010-2014	
388	1	15+	ANNUAL	PERCENT	-77.31068409	18.15616857	114	JAM	Jamaica	2010-2014	79.673485
392	1	15+	ANNUAL	PERCENT	139.2716103	36.6554539	117	JPN	Japan	2010-2014	96.966695
398	1	15+	ANNUAL	PERCENT	66.65359159	48.01963494	118	KAZ	Kazakhstan	2010-2014	53.2236
400	1	15+	ANNUAL	PERCENT	37.13024774	30.65365973	116	JOR	Jordan	2010-2014	31.59616
404	1	15+	ANNUAL	PERCENT	37.86096816	0.534797278	119	KEN	Kenya	2010-2014	62.474905
408	1	15+	ANNUAL	PERCENT	127.1803633	40.1462645	183	PRK	Democratic People's Republic of Korea	2010-2014	
410	1	15+	ANNUAL	PERCENT	127.8610254	36.45201023	124	KOR	Republic of Korea	2010-2014	95.254645
414	1	15+	ANNUAL	PERCENT	47.49305029	29.53949468	125	KWT	Kuwait	2010-2014	82.95826
417	1	15+	ANNUAL	PERCENT	74.52324839	41.46204516	120	KGZ	Kyrgyzstan	2010-2014	13.4521255
418	1	15+	ANNUAL	PERCENT	101.9901968	20.27482773	126	LAO	Lao People's Democratic Republic	2010-2014	
422	1	15+	ANNUAL	PERCENT	35.89391711	33.92152458	127	LBN	Lebanon	2010-2014	55.426905
426	1	15+	ANNUAL	PERCENT	28.25362195	-29.58041814	133	LSO	Lesotho	2010-2014	
428	1	15+	ANNUAL	PERCENT	26.42461876	56.64196636	136	LVA	Latvia	2010-2014	92.233925
430	1	15+	ANNUAL	PERCENT	-9.311879038	6.448381009	128	LBR	Liberia	2010-2014	
434	1	15+	ANNUAL	PERCENT	18.0295985	27.04042819	129	LBY	Libya	2010-2014	
438	1	15+	ANNUAL	PERCENT	9.552985019	47.14167005	131	LIE	Liechtenstein	2010-2014	
440	1	15+	ANNUAL	PERCENT	23.90517807	55.33680309	134	LTU	Lithuania	2010-2014	81.43766
442	1	15+	ANNUAL	PERCENT	6.092656563	49.77679538	135	LUX	Luxembourg	2010-2014	96.16851
446	1	15+	ANNUAL	PERCENT	113.5665388	22.1237259	137	MAC	China, Macao Special Administrative Region	2010-2014	
450	1	15+	ANNUAL	PERCENT	46.6982339	-19.38514785	142	MDG	Madagascar	2010-2014	7.775222
454	1	15+	ANNUAL	PERCENT	33.4884625	-13.40819859	158	MWI	Malawi	2010-2014	20.522225
458	1	15+	ANNUAL	PERCENT	116.8346314	5.452415309	159	MYS	Malaysia	2010-2014	80.60028
462	1	15+	ANNUAL	PERCENT	73.09672546	-0.614385021	143	MDV	Maldives	2010-2014	
466	1	15+	ANNUAL	PERCENT	-3.522016039	17.35311254	147	MLI	Mali	2010-2014	14.605045
470	1	15+	ANNUAL	PERCENT	14.44617519	35.89194275	148	MLT	Malta	2010-2014	96.937425
474	1	15+	ANNUAL	PERCENT	-60.91544135	14.56086108	156	MTQ	Martinique	2010-2014	
478	1	15+	ANNUAL	PERCENT	-10.33187259	20.26089546	154	MRT	Mauritania	2010-2014	25.4538
480	1	15+	ANNUAL	PERCENT	57.568022	-20.28581998	157	MUS	Mauritius	2010-2014	88.116255
484	1	15+	ANNUAL	PERCENT	-102.5148166	23.93378032	144	MEX	Mexico	2010-2014	41.69194
492	1	15+	ANNUAL	PERCENT	7.424214814	43.73532918	140	MCO	Monaco	2010-2014	
496	1	15+	ANNUAL	PERCENT	103.0728057	46.83892054	151	MNG	Mongolia	2010-2014	87.442395
498	1	15+	ANNUAL	PERCENT	28.4650624	47.20236795	141	MDA	Republic of Moldova	2010-2014	22.71272
499	1	15+	ANNUAL	PERCENT	19.25214024	42.78717043	150	MNE	Montenegro	2010-2014	62.61811
