geoAreaCode	sliceId	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	ANNUAL	NUMBER	66.02688198	33.83160199	2	AFG	Afghanistan	2010-2014	5154.567
8	1	ANNUAL	NUMBER	20.06660928	41.13897007	6	ALB	Albania	2010-2014	
10	1	ANNUAL	NUMBER	21.47585697	-80.40897662	13	ATA	Antarctica	2010-2014	
12	1	ANNUAL	NUMBER	2.678164227	28.15940032	66	DZA	Algeria	2010-2014	
16	1	ANNUAL	NUMBER	-170.7187269	-14.30587306	12	ASM	American Samoa	2010-2014	
20	1	ANNUAL	NUMBER	1.576257417	42.54548611	7	AND	Andorra	2010-2014	
24	1	ANNUAL	NUMBER	17.57817062	-12.33724746	3	AGO	Angola	2010-2014	5316.70575
28	1	ANNUAL	NUMBER	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2010-2014	
31	1	ANNUAL	NUMBER	50.01064725	40.39229544	19	AZE	Azerbaijan	2010-2014	
32	1	ANNUAL	NUMBER	-65.14563274	-35.19446255	10	ARG	Argentina	2010-2014	6394.931
36	1	ANNUAL	NUMBER	134.3499412	-25.57717202	17	AUS	Australia	2010-2014	
40	1	ANNUAL	NUMBER	14.14172472	47.58704857	18	AUT	Austria	2010-2014	
44	1	ANNUAL	NUMBER	-78.05111663	24.69546597	27	BHS	Bahamas	2010-2014	
48	1	ANNUAL	NUMBER	50.5490754	26.04407747	26	BHR	Bahrain	2010-2014	
50	1	ANNUAL	NUMBER	89.17660788	22.86961622	24	BGD	Bangladesh	2010-2014	29272.977
51	1	ANNUAL	NUMBER	44.93839317	40.29499741	11	ARM	Armenia	2010-2014	269.856
52	1	ANNUAL	NUMBER	-59.5346489	13.13648273	35	BRB	Barbados	2010-2014	
56	1	ANNUAL	NUMBER	4.660976456	50.64104975	21	BEL	Belgium	2010-2014	
60	1	ANNUAL	NUMBER	-64.78155012	32.27881922	32	BMU	Bermuda	2010-2014	
64	1	ANNUAL	NUMBER	90.45098484	27.39598568	37	BTN	Bhutan	2010-2014	
68	1	ANNUAL	NUMBER	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2010-2014	3213.78
70	1	ANNUAL	NUMBER	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2010-2014	
72	1	ANNUAL	NUMBER	23.81380223	-22.18810073	39	BWA	Botswana	2010-2014	
74	1	ANNUAL	NUMBER	3.410732868	-54.43295905	38	BVT	Bouvet Island	2010-2014	
76	1	ANNUAL	NUMBER	-53.08432878	-10.77668561	34	BRA	Brazil	2010-2014	38490.692
84	1	ANNUAL	NUMBER	-88.70199554	17.19965901	31	BLZ	Belize	2010-2014	16.2
86	1	ANNUAL	NUMBER	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	2010-2014	
90	1	ANNUAL	NUMBER	160.1584117	-9.622391719	204	SLB	Solomon Islands	2010-2014	
92	1	ANNUAL	NUMBER	-64.63294223	18.42256578	254	VGB	British Virgin Islands	2010-2014	
96	1	ANNUAL	NUMBER	114.6288563	4.49736984	36	BRN	Brunei Darussalam	2010-2014	
100	1	ANNUAL	NUMBER	25.23763153	42.75731323	25	BGR	Bulgaria	2010-2014	
104	1	ANNUAL	NUMBER	96.51752295	21.19332882	149	MMR	Myanmar	2010-2014	7389.43
108	1	ANNUAL	NUMBER	29.89080992	-3.366387428	20	BDI	Burundi	2010-2014	713.907
112	1	ANNUAL	NUMBER	28.04940161	53.54193075	30	BLR	Belarus	2010-2014	
116	1	ANNUAL	NUMBER	104.922836	12.71163737	121	KHM	Cambodia	2010-2014	1740.1305
120	1	ANNUAL	NUMBER	12.7419827	5.692387031	47	CMR	Cameroon	2010-2014	4637.3056
124	1	ANNUAL	NUMBER	-101.6575058	57.72360191	41	CAN	Canada	2010-2014	
132	1	ANNUAL	NUMBER	-23.63544151	15.07791834	53	CPV	Cabo Verde	2010-2014	
136	1	ANNUAL	NUMBER	-81.16740559	19.32266656	58	CYM	Cayman Islands	2010-2014	
140	1	ANNUAL	NUMBER	20.93559492	7.003720791	40	CAF	Central African Republic	2010-2014	1746.576
144	1	ANNUAL	NUMBER	80.70489654	7.614693343	132	LKA	Sri Lanka	2010-2014	
148	1	ANNUAL	NUMBER	18.66618401	15.36279341	222	TCD	Chad	2010-2014	2602.782
152	1	ANNUAL	NUMBER	-71.23029019	-35.2652885	44	CHL	Chile	2010-2014	
156	1	ANNUAL	NUMBER	104.1403375	32.30955217	45	CHN	China	2010-2014	191106.72
162	1	ANNUAL	NUMBER	105.6426067	-10.4882473	57	CXR	Christmas Island	2010-2014	
166	1	ANNUAL	NUMBER	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands	2010-2014	
170	1	ANNUAL	NUMBER	-73.07446751	3.888209046	51	COL	Colombia	2010-2014	4881.715
174	1	ANNUAL	NUMBER	43.34234565	-11.66121732	52	COM	Comoros	2010-2014	147.552
175	1	ANNUAL	NUMBER	45.14015057	-12.82217691	160	MYT	Mayotte	2010-2014	
178	1	ANNUAL	NUMBER	15.22052612	-0.840544119	49	COG	Congo	2010-2014	1388.709
180	1	ANNUAL	NUMBER	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	2010-2014	21778.02
184	1	ANNUAL	NUMBER	-159.7711391	-21.22696458	50	COK	Cook Islands	2010-2014	
188	1	ANNUAL	NUMBER	-84.19712782	9.970998683	54	CRI	Costa Rica	2010-2014	206.195
191	1	ANNUAL	NUMBER	17.95874553	45.45172212	101	HRV	Croatia	2010-2014	
192	1	ANNUAL	NUMBER	-79.54460144	22.10030366	55	CUB	Cuba	2010-2014	
196	1	ANNUAL	NUMBER	33.22285964	35.05659437	59	CYP	Cyprus	2010-2014	
203	1	ANNUAL	NUMBER	15.33151382	49.73913871	60	CZE	Czechia	2010-2014	
204	1	ANNUAL	NUMBER	2.339933594	9.65401646	22	BEN	Benin	2010-2014	2836.38
208	1	ANNUAL	NUMBER	9.326571283	56.03829721	64	DNK	Denmark	2010-2014	
212	1	ANNUAL	NUMBER	-61.3493756	15.43391378	63	DMA	Dominica	2010-2014	
214	1	ANNUAL	NUMBER	-70.49847576	18.89832088	65	DOM	Dominican Republic	2010-2014	994.499
218	1	ANNUAL	NUMBER	-78.37005241	-1.447785891	67	ECU	Ecuador	2010-2014	3654.72
222	1	ANNUAL	NUMBER	-88.86862995	13.73603564	206	SLV	El Salvador	2010-2014	
226	1	ANNUAL	NUMBER	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	2010-2014	204.558
231	1	ANNUAL	NUMBER	39.63505296	8.631223181	73	ETH	Ethiopia	2010-2014	13570.257
232	1	ANNUAL	NUMBER	38.11074289	16.12894644	69	ERI	Eritrea	2010-2014	
233	1	ANNUAL	NUMBER	25.84093481	58.68487172	72	EST	Estonia	2010-2014	
234	1	ANNUAL	NUMBER	-7.122044325	62.21228119	78	FRO	Faroe Islands	2010-2014	
238	1	ANNUAL	NUMBER	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)	2010-2014	
239	1	ANNUAL	NUMBER	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands	2010-2014	
242	1	ANNUAL	NUMBER	177.9660884	-17.83301566	75	FJI	Fiji	2010-2014	
246	1	ANNUAL	NUMBER	23.308447	61.91586738	74	FIN	Finland	2010-2014	
248	1	ANNUAL	NUMBER	19.80945969	60.1544901	5	ALA	Åland Islands	2010-2014	
250	1	ANNUAL	NUMBER	2.457288129	46.62660861	77	FRA	France	2010-2014	
254	1	ANNUAL	NUMBER	-53.23619089	3.922673437	95	GUF	French Guiana	2010-2014	
258	1	ANNUAL	NUMBER	-149.4052367	-17.67709294	191	PYF	French Polynesia	2010-2014	
260	1	ANNUAL	NUMBER	69.64849091	-49.6068576	14	ATF	French Southern Territories	2010-2014	
262	1	ANNUAL	NUMBER	42.18274707	11.56004161	62	DJI	Djibouti	2010-2014	449.36
266	1	ANNUAL	NUMBER	11.78727747	-0.60687619	80	GAB	Gabon	2010-2014	550.19
268	1	ANNUAL	NUMBER	43.3713615	42.04813028	82	GEO	Georgia	2010-2014	
270	1	ANNUAL	NUMBER	-15.39944785	13.45295927	88	GMB	Gambia	2010-2014	392.196
275	1	ANNUAL	NUMBER	35.25694122	31.94347933	189	PSE	State of Palestine	2010-2014	
276	1	ANNUAL	NUMBER	10.3806066	51.08862743	61	DEU	Germany	2010-2014	
288	1	ANNUAL	NUMBER	-1.205623522	7.964825185	84	GHA	Ghana	2010-2014	5349.3102
292	1	ANNUAL	NUMBER	-5.347561686	36.13895036	85	GIB	Gibraltar	2010-2014	
296	1	ANNUAL	NUMBER	-157.5643005	1.768837732	122	KIR	Kiribati	2010-2014	
300	1	ANNUAL	NUMBER	22.58307827	39.47301873	91	GRC	Greece	2010-2014	
304	1	ANNUAL	NUMBER	-41.39371316	74.75625681	93	GRL	Greenland	2010-2014	
308	1	ANNUAL	NUMBER	-61.68248568	12.11238395	92	GRD	Grenada	2010-2014	
312	1	ANNUAL	NUMBER	-61.64762115	16.14416917	87	GLP	Guadeloupe	2010-2014	
316	1	ANNUAL	NUMBER	144.7029305	13.35485404	96	GUM	Guam	2010-2014	
320	1	ANNUAL	NUMBER	-91.2312746	15.00273719	94	GTM	Guatemala	2010-2014	2796.915
324	1	ANNUAL	NUMBER	-11.28173419	11.00210343	86	GIN	Guinea	2010-2014	1912.994
328	1	ANNUAL	NUMBER	-58.97322037	4.788012784	97	GUY	Guyana	2010-2014	75.799
