series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CU_USD	8593.6	62963	3605.9	43400	52595.8	146572	2591	191914.2	821139.8	242962.56	2014	821139.8		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CU_USD	168626.8	57742.1	33420	132280	2120	565258.3	164630.3	49302		195327.65	2013	49302		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CU_USD	66377.7	3634.1	304	195652.2	479497.2	1034376	2934073.1	861408.9	25543	1066979.64	2014	25543	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CU_USD	1187054.1	886253.8	169663.4	78343.3	459101.3	393893.9	3026675.8	39921034.2	1314445.9	9023030.22	2014	1314445.9		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CU_USD	336500	113441.6	243861.9	1738137.4	214215.2	889748.4	771937	4030334.6	376337.8	1256514.6	2014	376337.8		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CU_USD	59980	26450	16100	2360	322870	121096.3	203462.5		106.2	161883.75	2014	106.2		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CU_USD	5058885.2	1976097.5	1499005.2	6884520.5	4371733.7	1556718.7	4936254.2	3415755	322949.9	2920682.3	2014	322949.9		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	CU_USD	752620.3	7300531.4	777605.4	184480.4	162305.8	682934.2	4126273.4	171436.8	1281832.1	1284956.46	2014	1281832.1		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	CU_USD	1697650.1	182388.1	114758.7	109781	2705531.1	494133.4	130505.2	95442.7	881504.1	861423.3	2014	881504.1	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	CU_USD	220400	248930.4	51751.2			80360	480141			280250.5	2012	480141	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	CU_USD	361402.2	208403.7	12105129.3	17421		99945	61525.9	27935.9	469210.3	164654.275	2014	469210.3		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	CU_USD	120900	214521.9	708585.7	11467004.2	22040	302620.2	528558.1	8157880.8	368389.3	1875897.68	2014	368389.3		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	CU_USD	41577.2	207929.6	165918.9	329676.9	214042.7	343709.5	184380.1	61036.7		200792.25	2013	61036.7		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	CU_USD	1568187	741681	3248756.1	997787.9	726502.7	993298.2	524193.5	45273698	418083.5	9587155.18	2014	418083.5		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	CU_USD	50269.3	3416493.5	8662601.3	21397.1	25605.2	518566.6	85690.1	7431690		2015387.975	2013	7431690		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	CU_USD	421075.3	55890	3290	67320	32870.8	228435	2966.9	358034		155576.675	2013	358034		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	CU_USD	141700	4020	434263.1	172170.9	362575.2	374477.5	254849.4	98120	5443234	1306651.22	2014	5443234		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	CU_USD	1470429.2	2610313.7	3593778.3	1341688.5	5806363.7	2795851.7	1639702.5	3774634.8	24917162.1	7786742.96	2014	24917162.1	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	CU_USD	43363.3	27307.1	114990.8		111315.7	747678.8	80806.9	46063.5	36337	204440.38	2014	36337	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	CU_USD	98763.3	45440	32787.8	21932.9		383574.7	25306.6	71519		160133.433333333	2013	71519		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	CU_USD	553515.8	7393.9		121991.4	1450331.1			920074.3		1185202.7	2013	920074.3	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	CU_USD	33980	11140	33976.9	35697.9	4730	117402.3	30965	67625	200549	84254.26	2014	200549		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	CU_USD														
