series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PERCENT	70.847304	63.97637	62.101271	60.999167	59.899167	2015	59.899167	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PERCENT									
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PERCENT	83.029653	81.028939	80.064309	79.063951	78.063594	2015	78.063594	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PERCENT	24.733333	24.466667	24.4	24.266667	24.133333	2015	24.133333	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PERCENT	78.368121	75.332068	73.814042	72.106262	72.106262	2015	72.106262	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PERCENT	30.646647	31.088799	33.631172	34.42336	35.215549	2015	35.215549	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PERCENT	59.642613	53.027146	50.674473	48.32028	44.165463	2015	44.165463	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PERCENT	11.253894	7.71028	7.048287	9.852025	10.747664	2015	10.747664	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PERCENT	37.49759	39.873723	40.659341	41.131675	41.61124	2015	41.61124	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	PERCENT	73.328801	65.409019	60.791978	57.183322	53.574666	2015	53.574666	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT	51.439572	46.785556	44.458548	42.131539	39.804531	2015	39.804531	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT	38.299073	38.247277	38.222425	38.192293	38.166671	2015	38.166671	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT	14.330025	20.369727	20.741935	21.114144	22.308437	2015	22.308437	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT	52.916667	52.916667	52.916667	52.916667	52.916667	2015	52.916667	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT	36.213041	35.962631	35.837427	35.712222	35.587017	2015	35.587017	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT	36.421623	34.954553	33.774518	33.535321	33.009089	2015	33.009089	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT	5.324809	5.023825	4.876906	4.374206	3.871506	2015	3.871506	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT	20.527695	21.295651	21.575397	21.829589	23.852366	2015	23.852366	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	16.672212	18.779296	20.481459	21.284235	22.102352	2015	22.102352	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT									
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT									
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT	58.059486	55.69936	54.259901	52.848418	52.728022	2015	52.728022	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT	26.344086	24.193548	22.580645	20.967742	19.892473	2015	19.892473	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT	28.453333	23.28	20.693333	18.106667	15.52	2015	15.52	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT	66.547584	66.04978	65.800878	65.625183	65.399707	2015	65.399707	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT	70.73642	69.362828	68.676033	67.989237	67.302441	2015	67.302441	Official submission of country data to FAO Global Forest Resources Assessment	C
