series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	METONS	4.03	3.87	4.03	3.91	3.97	4.28	4.09	4.32	4.39	4.71	3.27	3.84	4.89	5.24	6.88	4.824	2014	6.88	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	METONS	292.31	298.87	298.16	292.4	309.77	310.5	314.03	329.64	347.89	324.38	370.53	389.59	422.24	451.33	476.02	421.942	2014	476.02	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	METONS	4.42	4.31	4.36	5.25	4.92	4.82	7.21	6.84	7.22	7.43	6.86	7.01	6.97	6.85	6.7	6.878	2014	6.7	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	METONS	42.19	45.03	42.49	46.73	45.8	46.5	47.65	50.99	48.53	42.4	44.4	49.21	44.45	39.34	42.13	43.906	2014	42.13	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	METONS	9.28	8.2	8.14	10.26	10	10.57	9.82	10.2	7.58	7.03	7.9	8.1	11.44	13.43	19.56	12.086	2014	19.56	IEA/OECD CO2 emissions from fuel combustion, 2016	C
