geoAreaCode	sliceId	Age	Freq	Location	Sex	Units	Bounds	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
400	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	37.13024774	30.65365973	116	JOR	Jordan	2010-2014	
404	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	37.86096816	0.534797278	119	KEN	Kenya	2010-2014	
408	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	127.1803633	40.1462645	183	PRK	Democratic People's Republic of Korea	2010-2014	
410	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	127.8610254	36.45201023	124	KOR	Republic of Korea	2010-2014	
414	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	47.49305029	29.53949468	125	KWT	Kuwait	2010-2014	
417	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	74.52324839	41.46204516	120	KGZ	Kyrgyzstan	2010-2014	
418	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	101.9901968	20.27482773	126	LAO	Lao People's Democratic Republic	2010-2014	
422	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	35.89391711	33.92152458	127	LBN	Lebanon	2010-2014	
426	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	28.25362195	-29.58041814	133	LSO	Lesotho	2010-2014	
428	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	26.42461876	56.64196636	136	LVA	Latvia	2010-2014	
430	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-9.311879038	6.448381009	128	LBR	Liberia	2010-2014	
434	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	18.0295985	27.04042819	129	LBY	Libya	2010-2014	
438	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	9.552985019	47.14167005	131	LIE	Liechtenstein	2010-2014	
440	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	23.90517807	55.33680309	134	LTU	Lithuania	2010-2014	
442	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	6.092656563	49.77679538	135	LUX	Luxembourg	2010-2014	
446	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	113.5665388	22.1237259	137	MAC	China, Macao Special Administrative Region	2010-2014	
450	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	46.6982339	-19.38514785	142	MDG	Madagascar	2010-2014	
454	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	33.4884625	-13.40819859	158	MWI	Malawi	2010-2014	
458	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	116.8346314	5.452415309	159	MYS	Malaysia	2010-2014	
462	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	73.09672546	-0.614385021	143	MDV	Maldives	2010-2014	
466	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-3.522016039	17.35311254	147	MLI	Mali	2010-2014	
470	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	14.44617519	35.89194275	148	MLT	Malta	2010-2014	
474	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-60.91544135	14.56086108	156	MTQ	Martinique	2010-2014	
478	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-10.33187259	20.26089546	154	MRT	Mauritania	2010-2014	
480	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	57.568022	-20.28581998	157	MUS	Mauritius	2010-2014	
484	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-102.5148166	23.93378032	144	MEX	Mexico	2010-2014	
492	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	7.424214814	43.73532918	140	MCO	Monaco	2010-2014	
496	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	103.0728057	46.83892054	151	MNG	Mongolia	2010-2014	
498	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	28.4650624	47.20236795	141	MDA	Republic of Moldova	2010-2014	
499	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	19.25214024	42.78717043	150	MNE	Montenegro	2010-2014	
500	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-62.19261223	16.73558313	155	MSR	Montserrat	2010-2014	
504	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-6.281942841	31.8440131	139	MAR	Morocco	2010-2014	
508	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	38.18479941	-14.27963886	153	MOZ	Mozambique	2010-2014	
512	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	57.87743482	21.98805614	173	OMN	Oman	2010-2014	
516	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	17.21907885	-22.13817068	161	NAM	Namibia	2010-2014	
520	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	166.92313	-0.528742623	171	NRU	Nauru	2010-2014	
524	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	83.94678863	28.25866332	170	NPL	Nepal	2010-2014	
528	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	5.331480568	51.86728884	168	NLD	Netherlands	2010-2014	
530	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-68.30676179	12.22720635	8	ANT	Netherlands Antilles	2010-2014	
531	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-68.95033464	12.15058042	56	CUW	Curaçao	2010-2014	
533	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-69.97050586	12.50878756	1	ABW	Aruba	2010-2014	
534	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-63.06198692	18.03926508	218	SXM	Sint Maarten (Dutch part)	2010-2014	
540	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	165.5067368	-21.41742531	162	NCL	New Caledonia	2010-2014	
548	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	167.0679779	-15.34445547	257	VUT	Vanuatu	2010-2014	
554	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	170.4755673	-43.98721568	172	NZL	New Zealand	2010-2014	
558	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-85.03060315	12.84210839	166	NIC	Nicaragua	2010-2014	
562	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	9.400167877	17.42143036	163	NER	Niger	2010-2014	
566	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	8.097363256	9.585789025	165	NGA	Nigeria	2010-2014	
570	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-169.8601693	-19.05000475	167	NIU	Niue	2010-2014	
574	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	167.9515548	-29.03230018	164	NFK	Norfolk Island	2010-2014	
578	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	11.47846389	61.34311134	169	NOR	Norway	2010-2014	
580	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	145.7582114	15.19099517	152	MNP	Northern Mariana Islands	2010-2014	
581	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-162.4343752	5.874443968	245	UMI	US Minor Outlying Islands	2010-2014	
583	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	158.225216	6.880670092	79	FSM	Micronesia, Federated States of	2010-2014	
584	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	171.0839119	7.110213497	145	MHL	Marshall Islands	2010-2014	
585	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	134.5733878	7.502307591	179	PLW	Palau	2010-2014	
586	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	68.80479684	29.36491634	174	PAK	Pakistan	2010-2014	
591	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-81.26616623	8.450965746	175	PAN	Panama	2010-2014	
598	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	145.8587761	-6.756057077	180	PNG	Papua New Guinea	2010-2014	
600	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-60.54854225	-21.70216237	187	PRY	Paraguay	2010-2014	
604	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-71.82093277	-13.58939705	177	PER	Peru	2010-2014	
608	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	120.8601418	14.16591706	178	PHL	Philippines	2010-2014	
612	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-128.3225873	-24.37538456	176	PCN	Pitcairn	2010-2014	
616	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	19.40660158	52.1226733	181	POL	Poland	2010-2014	
620	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-7.961599811	39.68509315	186	PRT	Portugal	2010-2014	
624	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-14.40182514	12.11760394	89	GNB	Guinea-Bissau	2010-2014	
626	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	125.9451052	-8.797497247	228	TLS	Timor-Leste	2010-2014	
630	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-66.47591017	18.22753799	182	PRI	Puerto Rico	2010-2014	
634	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	51.19152467	25.28355379	192	QAT	Qatar	2010-2014	
638	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	55.53171398	-21.13183266	193	REU	Réunion	2010-2014	
642	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	24.98481009	45.83893563	194	ROU	Romania	2010-2014	
