geoAreaCode	sliceId	Age	Freq	Location	Sex	Units	Bounds	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
152	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-71.23029019	-35.2652885	44	CHL	Chile	2010-2014	
156	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	104.1403375	32.30955217	45	CHN	China	2010-2014	
162	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	105.6426067	-10.4882473	57	CXR	Christmas Island	2010-2014	
166	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands	2010-2014	
170	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-73.07446751	3.888209046	51	COL	Colombia	2010-2014	
174	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	43.34234565	-11.66121732	52	COM	Comoros	2010-2014	
175	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	45.14015057	-12.82217691	160	MYT	Mayotte	2010-2014	
178	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	15.22052612	-0.840544119	49	COG	Congo	2010-2014	
180	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	2010-2014	
184	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-159.7711391	-21.22696458	50	COK	Cook Islands	2010-2014	
188	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-84.19712782	9.970998683	54	CRI	Costa Rica	2010-2014	
191	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	17.95874553	45.45172212	101	HRV	Croatia	2010-2014	
192	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-79.54460144	22.10030366	55	CUB	Cuba	2010-2014	
196	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	33.22285964	35.05659437	59	CYP	Cyprus	2010-2014	
203	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	15.33151382	49.73913871	60	CZE	Czechia	2010-2014	
204	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	2.339933594	9.65401646	22	BEN	Benin	2010-2014	
208	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	9.326571283	56.03829721	64	DNK	Denmark	2010-2014	
212	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-61.3493756	15.43391378	63	DMA	Dominica	2010-2014	
214	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-70.49847576	18.89832088	65	DOM	Dominican Republic	2010-2014	
218	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-78.37005241	-1.447785891	67	ECU	Ecuador	2010-2014	
222	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-88.86862995	13.73603564	206	SLV	El Salvador	2010-2014	
226	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	2010-2014	
231	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	39.63505296	8.631223181	73	ETH	Ethiopia	2010-2014	
232	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	38.11074289	16.12894644	69	ERI	Eritrea	2010-2014	
233	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	25.84093481	58.68487172	72	EST	Estonia	2010-2014	
234	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-7.122044325	62.21228119	78	FRO	Faroe Islands	2010-2014	
238	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)	2010-2014	
239	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands	2010-2014	
242	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	177.9660884	-17.83301566	75	FJI	Fiji	2010-2014	
246	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	23.308447	61.91586738	74	FIN	Finland	2010-2014	
248	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	19.80945969	60.1544901	5	ALA	Åland Islands	2010-2014	
250	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	2.457288129	46.62660861	77	FRA	France	2010-2014	
254	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-53.23619089	3.922673437	95	GUF	French Guiana	2010-2014	
258	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-149.4052367	-17.67709294	191	PYF	French Polynesia	2010-2014	
260	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	69.64849091	-49.6068576	14	ATF	French Southern Territories	2010-2014	
262	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	42.18274707	11.56004161	62	DJI	Djibouti	2010-2014	
266	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	11.78727747	-0.60687619	80	GAB	Gabon	2010-2014	
268	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	43.3713615	42.04813028	82	GEO	Georgia	2010-2014	
270	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-15.39944785	13.45295927	88	GMB	Gambia	2010-2014	
275	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	35.25694122	31.94347933	189	PSE	State of Palestine	2010-2014	
276	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	10.3806066	51.08862743	61	DEU	Germany	2010-2014	
288	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-1.205623522	7.964825185	84	GHA	Ghana	2010-2014	
292	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-5.347561686	36.13895036	85	GIB	Gibraltar	2010-2014	
296	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-157.5643005	1.768837732	122	KIR	Kiribati	2010-2014	
300	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	22.58307827	39.47301873	91	GRC	Greece	2010-2014	
304	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-41.39371316	74.75625681	93	GRL	Greenland	2010-2014	
308	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-61.68248568	12.11238395	92	GRD	Grenada	2010-2014	
312	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-61.64762115	16.14416917	87	GLP	Guadeloupe	2010-2014	
316	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	144.7029305	13.35485404	96	GUM	Guam	2010-2014	
320	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-91.2312746	15.00273719	94	GTM	Guatemala	2010-2014	
324	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-11.28173419	11.00210343	86	GIN	Guinea	2010-2014	
328	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-58.97322037	4.788012784	97	GUY	Guyana	2010-2014	
332	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-72.33640958	18.40426539	102	HTI	Haiti	2010-2014	
334	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	73.52633626	-53.09106147	99	HMD	Heard Island and McDonald Islands	2010-2014	
336	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	12.45315803	41.90343751	250	VAT	Holy See	2010-2014	
340	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-86.59974381	14.82243161	100	HND	Honduras	2010-2014	
344	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	114.0266445	22.41749934	98	HKG	China, Hong Kong Special Administrative Region	2010-2014	
348	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	19.41221519	47.1651448	103	HUN	Hungary	2010-2014	
352	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-19.02116966	64.79134763	111	ISL	Iceland	2010-2014	
356	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	79.3608464	22.34642074	106	IND	India	2010-2014	
360	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	113.9174	-0.994582204	104	IDN	Indonesia	2010-2014	
364	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	54.19766348	32.74370885	109	IRN	Iran (Islamic Republic of)	2010-2014	
368	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	43.76606267	33.05013795	110	IRQ	Iraq	2010-2014	
372	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-7.121425272	53.25274054	108	IRL	Ireland	2010-2014	
376	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	34.62277992	31.06164552	112	ISR	Israel	2010-2014	
380	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	12.57022427	42.79917282	113	ITA	Italy	2010-2014	
384	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-5.552690016	7.62211586	46	CIV	Côte d'Ivoire	2010-2014	
388	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	-77.31068409	18.15616857	114	JAM	Jamaica	2010-2014	
392	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	139.2716103	36.6554539	117	JPN	Japan	2010-2014	
398	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	66.65359159	48.01963494	118	KAZ	Kazakhstan	2010-2014	
