geoAreaCode	sliceId	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
214	1	ANNUAL	PERCENT	-70.49847576	18.89832088	65	DOM	Dominican Republic	2011-2015	12.502226823966
218	1	ANNUAL	PERCENT	-78.37005241	-1.447785891	67	ECU	Ecuador	2011-2015	8.987127843718
222	1	ANNUAL	PERCENT	-88.86862995	13.73603564	206	SLV	El Salvador	2011-2015	13.299057241278
226	1	ANNUAL	PERCENT	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	2011-2015	
231	1	ANNUAL	PERCENT	39.63505296	8.631223181	73	ETH	Ethiopia	2011-2015	11.607014416572
232	1	ANNUAL	PERCENT	38.11074289	16.12894644	69	ERI	Eritrea	2011-2015	
233	1	ANNUAL	PERCENT	25.84093481	58.68487172	72	EST	Estonia	2011-2015	
234	1	ANNUAL	PERCENT	-7.122044325	62.21228119	78	FRO	Faroe Islands	2011-2015	
238	1	ANNUAL	PERCENT	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)	2011-2015	
239	1	ANNUAL	PERCENT	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands	2011-2015	
242	1	ANNUAL	PERCENT	177.9660884	-17.83301566	75	FJI	Fiji	2011-2015	3.08012590302
246	1	ANNUAL	PERCENT	23.308447	61.91586738	74	FIN	Finland	2011-2015	
248	1	ANNUAL	PERCENT	19.80945969	60.1544901	5	ALA	Åland Islands	2011-2015	
250	1	ANNUAL	PERCENT	2.457288129	46.62660861	77	FRA	France	2011-2015	
254	1	ANNUAL	PERCENT	-53.23619089	3.922673437	95	GUF	French Guiana	2011-2015	
258	1	ANNUAL	PERCENT	-149.4052367	-17.67709294	191	PYF	French Polynesia	2011-2015	
260	1	ANNUAL	PERCENT	69.64849091	-49.6068576	14	ATF	French Southern Territories	2011-2015	
262	1	ANNUAL	PERCENT	42.18274707	11.56004161	62	DJI	Djibouti	2011-2015	7.703283111372
266	1	ANNUAL	PERCENT	11.78727747	-0.60687619	80	GAB	Gabon	2011-2015	
268	1	ANNUAL	PERCENT	43.3713615	42.04813028	82	GEO	Georgia	2011-2015	8.96689852756
270	1	ANNUAL	PERCENT	-15.39944785	13.45295927	88	GMB	Gambia	2011-2015	10.846106300626
