geoAreaCode	sliceId	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
68	1	ANNUAL	METONS	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2010-2014	16.102
70	1	ANNUAL	METONS	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2010-2014	21.734
72	1	ANNUAL	METONS	23.81380223	-22.18810073	39	BWA	Botswana	2010-2014	4.824
74	1	ANNUAL	METONS	3.410732868	-54.43295905	38	BVT	Bouvet Island	2010-2014	
76	1	ANNUAL	METONS	-53.08432878	-10.77668561	34	BRA	Brazil	2010-2014	421.942
84	1	ANNUAL	METONS	-88.70199554	17.19965901	31	BLZ	Belize	2010-2014	
86	1	ANNUAL	METONS	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	2010-2014	
90	1	ANNUAL	METONS	160.1584117	-9.622391719	204	SLB	Solomon Islands	2010-2014	
92	1	ANNUAL	METONS	-64.63294223	18.42256578	254	VGB	British Virgin Islands	2010-2014	
96	1	ANNUAL	METONS	114.6288563	4.49736984	36	BRN	Brunei Darussalam	2010-2014	6.878
100	1	ANNUAL	METONS	25.23763153	42.75731323	25	BGR	Bulgaria	2010-2014	43.906
104	1	ANNUAL	METONS	96.51752295	21.19332882	149	MMR	Myanmar	2010-2014	12.086
108	1	ANNUAL	METONS	29.89080992	-3.366387428	20	BDI	Burundi	2010-2014	
112	1	ANNUAL	METONS	28.04940161	53.54193075	30	BLR	Belarus	2010-2014	58.048
116	1	ANNUAL	METONS	104.922836	12.71163737	121	KHM	Cambodia	2010-2014	5.16
120	1	ANNUAL	METONS	12.7419827	5.692387031	47	CMR	Cameroon	2010-2014	5.47
124	1	ANNUAL	METONS	-101.6575058	57.72360191	41	CAN	Canada	2010-2014	540.67
132	1	ANNUAL	METONS	-23.63544151	15.07791834	53	CPV	Cabo Verde	2010-2014	
136	1	ANNUAL	METONS	-81.16740559	19.32266656	58	CYM	Cayman Islands	2010-2014	
140	1	ANNUAL	METONS	20.93559492	7.003720791	40	CAF	Central African Republic	2010-2014	
144	1	ANNUAL	METONS	80.70489654	7.614693343	132	LKA	Sri Lanka	2010-2014	14.722
