series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	METONS	1.54e+09	1507000064	1.504e+09	1.504e+09	1.54e+09	1.694e+09	1.812e+09	1988999936	2184999936	2296999936	2534000128	2163399987.2	2010	2534000128	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	METONS	2452000	2591000	2552000	2781000	2791000	2774000	2971000	3285000	2797000	2878000	2813000	2948800	2010	2813000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	METONS	6158000	5091000	4838000	4885000	5159000	5198000	5341000	6395000	5943000	7824000	6614000	6423400	2010	6614000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	METONS	33770000	40310000	42670000	51340000	63700000	70400000	80800000	88200000	92900000	83300000	76600000	84360000	2010	76600000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	METONS	29838000	33502000	36914000	54017000	55701000	59134000	59123000	64399000	72578096	84002000	82102000	72440819.2	2010	82102000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	METONS	10005000	11887000	12447000	13137000	13574000	14489000	14903000	14635000	13763000	15728000	15440000	14893800	2010	15440000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	METONS	596000	344200	395600	419600	450200	428000	569100	675100	502000	498300	491900	547280	2010	491900	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	METONS	18890000	16829000	16539000	18494000	18324000	20707000	22859000	25270000	26930000	34770000	52550000	32475800	2010	52550000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	METONS	25538000	26875000	26985000	28072000	29610000	30716000	29859000	30873000	31520000	38190000	37755000	33639400	2010	37755000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	METONS	8.26e+08	7.98e+08	8.02e+08	8.62e+08	8.7e+08	9.03e+08	9.34e+08	9.45e+08	9.35e+08	9.34e+08	9.68e+08	943200000	2010	9.68e+08	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	METONS	2001000	1795000	2048000	2104000	2296000	2396000	2811000	3387000	2812000	3015000	2870000	2979000	2010	2870000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	METONS	6697000	7188000	7576000	7575200	8553000	9067000	9233000	10160000	10454000	11504000	11280000	10526200	2010	11280000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	METONS	27250000	29490000	29100000	28800000	30810000	35320000	37620000	41400000	46690000	45950000	50920000	44516000	2010	50920000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	METONS	12973000	14873000	15956000	16678000	14775000	15102000	15993000	17738000	18461000	21872000	22091000	19231000	2010	22091000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	METONS	254800000	273400000	277600000	283900000	267100000	280800000	271600000	264300000	270400000	275700000	298500000	276100000	2010	298500000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	METONS	7441999872	8291999744	8689999872	9916999680	10862000128	11377999872	12890000384	14129999872	15370000384	18410000384	20070000640	16174000332.8	2010	20070000640	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	METONS																
