geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
180	2014	ANNUAL	NUMBER	1	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	21778.02	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
184	2014	ANNUAL	NUMBER	1	-159.7711391	-21.22696458	50	COK	Cook Islands					
188	2014	ANNUAL	NUMBER	1	-84.19712782	9.970998683	54	CRI	Costa Rica	206.195	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
191	2014	ANNUAL	NUMBER	1	17.95874553	45.45172212	101	HRV	Croatia					
192	2014	ANNUAL	NUMBER	1	-79.54460144	22.10030366	55	CUB	Cuba					
196	2014	ANNUAL	NUMBER	1	33.22285964	35.05659437	59	CYP	Cyprus					
203	2014	ANNUAL	NUMBER	1	15.33151382	49.73913871	60	CZE	Czechia					
204	2014	ANNUAL	NUMBER	1	2.339933594	9.65401646	22	BEN	Benin	2836.38	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
208	2014	ANNUAL	NUMBER	1	9.326571283	56.03829721	64	DNK	Denmark					
212	2014	ANNUAL	NUMBER	1	-61.3493756	15.43391378	63	DMA	Dominica					
214	2014	ANNUAL	NUMBER	1	-70.49847576	18.89832088	65	DOM	Dominican Republic	994.499	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
218	2014	ANNUAL	NUMBER	1	-78.37005241	-1.447785891	67	ECU	Ecuador	3654.72	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
222	2014	ANNUAL	NUMBER	1	-88.86862995	13.73603564	206	SLV	El Salvador					
226	2014	ANNUAL	NUMBER	1	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	204.558	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
231	2014	ANNUAL	NUMBER	1	39.63505296	8.631223181	73	ETH	Ethiopia	13570.257	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
232	2014	ANNUAL	NUMBER	1	38.11074289	16.12894644	69	ERI	Eritrea					
233	2014	ANNUAL	NUMBER	1	25.84093481	58.68487172	72	EST	Estonia					
234	2014	ANNUAL	NUMBER	1	-7.122044325	62.21228119	78	FRO	Faroe Islands					
238	2014	ANNUAL	NUMBER	1	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)					
239	2014	ANNUAL	NUMBER	1	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands					
242	2014	ANNUAL	NUMBER	1	177.9660884	-17.83301566	75	FJI	Fiji					
246	2014	ANNUAL	NUMBER	1	23.308447	61.91586738	74	FIN	Finland					
248	2014	ANNUAL	NUMBER	1	19.80945969	60.1544901	5	ALA	Åland Islands					
250	2014	ANNUAL	NUMBER	1	2.457288129	46.62660861	77	FRA	France					
254	2014	ANNUAL	NUMBER	1	-53.23619089	3.922673437	95	GUF	French Guiana					
258	2014	ANNUAL	NUMBER	1	-149.4052367	-17.67709294	191	PYF	French Polynesia					
260	2014	ANNUAL	NUMBER	1	69.64849091	-49.6068576	14	ATF	French Southern Territories					
262	2014	ANNUAL	NUMBER	1	42.18274707	11.56004161	62	DJI	Djibouti	449.36	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
266	2014	ANNUAL	NUMBER	1	11.78727747	-0.60687619	80	GAB	Gabon	550.19	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
268	2014	ANNUAL	NUMBER	1	43.3713615	42.04813028	82	GEO	Georgia					
270	2014	ANNUAL	NUMBER	1	-15.39944785	13.45295927	88	GMB	Gambia	392.196	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
275	2014	ANNUAL	NUMBER	1	35.25694122	31.94347933	189	PSE	State of Palestine					
276	2014	ANNUAL	NUMBER	1	10.3806066	51.08862743	61	DEU	Germany					
288	2014	ANNUAL	NUMBER	1	-1.205623522	7.964825185	84	GHA	Ghana	5349.3102	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
292	2014	ANNUAL	NUMBER	1	-5.347561686	36.13895036	85	GIB	Gibraltar					
296	2014	ANNUAL	NUMBER	1	-157.5643005	1.768837732	122	KIR	Kiribati					
300	2014	ANNUAL	NUMBER	1	22.58307827	39.47301873	91	GRC	Greece					
304	2014	ANNUAL	NUMBER	1	-41.39371316	74.75625681	93	GRL	Greenland					
308	2014	ANNUAL	NUMBER	1	-61.68248568	12.11238395	92	GRD	Grenada					
312	2014	ANNUAL	NUMBER	1	-61.64762115	16.14416917	87	GLP	Guadeloupe					
316	2014	ANNUAL	NUMBER	1	144.7029305	13.35485404	96	GUM	Guam					
320	2014	ANNUAL	NUMBER	1	-91.2312746	15.00273719	94	GTM	Guatemala	2796.915	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
324	2014	ANNUAL	NUMBER	1	-11.28173419	11.00210343	86	GIN	Guinea	1912.994	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
328	2014	ANNUAL	NUMBER	1	-58.97322037	4.788012784	97	GUY	Guyana	75.799	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
332	2014	ANNUAL	NUMBER	1	-72.33640958	18.40426539	102	HTI	Haiti	4470.696	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
334	2014	ANNUAL	NUMBER	1	73.52633626	-53.09106147	99	HMD	Heard Island and McDonald Islands					
336	2014	ANNUAL	NUMBER	1	12.45315803	41.90343751	250	VAT	Holy See					
340	2014	ANNUAL	NUMBER	1	-86.59974381	14.82243161	100	HND	Honduras	1229.8	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
344	2014	ANNUAL	NUMBER	1	114.0266445	22.41749934	98	HKG	China, Hong Kong Special Administrative Region					
348	2014	ANNUAL	NUMBER	1	19.41221519	47.1651448	103	HUN	Hungary					
352	2014	ANNUAL	NUMBER	1	-19.02116966	64.79134763	111	ISL	Iceland					
356	2014	ANNUAL	NUMBER	1	79.3608464	22.34642074	106	IND	India	98448.96	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
360	2014	ANNUAL	NUMBER	1	113.9174	-0.994582204	104	IDN	Indonesia	29211.782	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
364	2014	ANNUAL	NUMBER	1	54.19766348	32.74370885	109	IRN	Iran (Islamic Republic of)					
368	2014	ANNUAL	NUMBER	1	43.76606267	33.05013795	110	IRQ	Iraq	11382.752	Float		United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
