geoAreaCode	sliceId	Age	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
834	1	15+	ANNUAL	PER_100000_POP	34.80521182	-6.265332606	235	TZA	Tanzania, United Republic of	2011-2015	5.4009648
840	1	15+	ANNUAL	PER_100000_POP	-99.13830311	39.5277871	248	USA	United States of America	2011-2015	
850	1	15+	ANNUAL	PER_100000_POP	-64.76960113	17.73297693	255	VIR	United States Virgin Islands	2011-2015	
854	1	15+	ANNUAL	PER_100000_POP	-1.742843829	12.27491081	23	BFA	Burkina Faso	2011-2015	2.7698876
858	1	15+	ANNUAL	PER_100000_POP	-56.01387025	-32.8002838	247	URY	Uruguay	2011-2015	46.75037
860	1	15+	ANNUAL	PER_100000_POP	63.11944558	41.77560518	249	UZB	Uzbekistan	2011-2015	7.6049824
862	1	15+	ANNUAL	PER_100000_POP	-66.15642084	7.121324748	253	VEN	Venezuela (Bolivarian Republic)	2011-2015	43.356902
876	1	15+	ANNUAL	PER_100000_POP	-176.2034788	-13.28471201	258	WLF	Wallis and Futuna Islands	2011-2015	
882	1	15+	ANNUAL	PER_100000_POP	-172.4430749	-13.61541469	259	WSM	Samoa	2011-2015	34.843414
887	1	15+	ANNUAL	PER_100000_POP	45.22389143	15.22242099	282	YEM	Yemen	2011-2015	4.992649
894	1	15+	ANNUAL	PER_100000_POP	27.850329	-14.59701056	284	ZMB	Zambia	2011-2015	9.0289882
