geoAreaCode	sliceId	Age	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
384	1	15+	ANNUAL	PER_100000_POP	-5.552690016	7.62211586	46	CIV	Côte d'Ivoire	2011-2015	5.6508692
388	1	15+	ANNUAL	PER_100000_POP	-77.31068409	18.15616857	114	JAM	Jamaica	2011-2015	29.567524
392	1	15+	ANNUAL	PER_100000_POP	139.2716103	36.6554539	117	JPN	Japan	2011-2015	127.92126
398	1	15+	ANNUAL	PER_100000_POP	66.65359159	48.01963494	118	KAZ	Kazakhstan	2011-2015	69.492374
400	1	15+	ANNUAL	PER_100000_POP	37.13024774	30.65365973	116	JOR	Jordan	2011-2015	28.895186
404	1	15+	ANNUAL	PER_100000_POP	37.86096816	0.534797278	119	KEN	Kenya	2011-2015	9.814088
408	1	15+	ANNUAL	PER_100000_POP	127.1803633	40.1462645	183	PRK	Democratic People's Republic of Korea	2011-2015	
410	1	15+	ANNUAL	PER_100000_POP	127.8610254	36.45201023	124	KOR	Republic of Korea	2011-2015	284.9143
414	1	15+	ANNUAL	PER_100000_POP	47.49305029	29.53949468	125	KWT	Kuwait	2011-2015	53.996316
417	1	15+	ANNUAL	PER_100000_POP	74.52324839	41.46204516	120	KGZ	Kyrgyzstan	2011-2015	20.64334
418	1	15+	ANNUAL	PER_100000_POP	101.9901968	20.27482773	126	LAO	Lao People's Democratic Republic	2011-2015	17.009344
422	1	15+	ANNUAL	PER_100000_POP	35.89391711	33.92152458	127	LBN	Lebanon	2011-2015	37.926932
426	1	15+	ANNUAL	PER_100000_POP	28.25362195	-29.58041814	133	LSO	Lesotho	2011-2015	10.4743544
428	1	15+	ANNUAL	PER_100000_POP	26.42461876	56.64196636	136	LVA	Latvia	2011-2015	66.981972
430	1	15+	ANNUAL	PER_100000_POP	-9.311879038	6.448381009	128	LBR	Liberia	2011-2015	
434	1	15+	ANNUAL	PER_100000_POP	18.0295985	27.04042819	129	LBY	Libya	2011-2015	
438	1	15+	ANNUAL	PER_100000_POP	9.552985019	47.14167005	131	LIE	Liechtenstein	2011-2015	
440	1	15+	ANNUAL	PER_100000_POP	23.90517807	55.33680309	134	LTU	Lithuania	2011-2015	50.414056
442	1	15+	ANNUAL	PER_100000_POP	6.092656563	49.77679538	135	LUX	Luxembourg	2011-2015	103.660708
446	1	15+	ANNUAL	PER_100000_POP	113.5665388	22.1237259	137	MAC	China, Macao Special Administrative Region	2011-2015	205.73202
450	1	15+	ANNUAL	PER_100000_POP	46.6982339	-19.38514785	142	MDG	Madagascar	2011-2015	1.8835856
454	1	15+	ANNUAL	PER_100000_POP	33.4884625	-13.40819859	158	MWI	Malawi	2011-2015	4.5693312
458	1	15+	ANNUAL	PER_100000_POP	116.8346314	5.452415309	159	MYS	Malaysia	2011-2015	52.843634
462	1	15+	ANNUAL	PER_100000_POP	73.09672546	-0.614385021	143	MDV	Maldives	2011-2015	23.127122
466	1	15+	ANNUAL	PER_100000_POP	-3.522016039	17.35311254	147	MLI	Mali	2011-2015	3.8146152
470	1	15+	ANNUAL	PER_100000_POP	14.44617519	35.89194275	148	MLT	Malta	2011-2015	58.045928
474	1	15+	ANNUAL	PER_100000_POP	-60.91544135	14.56086108	156	MTQ	Martinique	2011-2015	
478	1	15+	ANNUAL	PER_100000_POP	-10.33187259	20.26089546	154	MRT	Mauritania	2011-2015	6.4419564
480	1	15+	ANNUAL	PER_100000_POP	57.568022	-20.28581998	157	MUS	Mauritius	2011-2015	44.640372
484	1	15+	ANNUAL	PER_100000_POP	-102.5148166	23.93378032	144	MEX	Mexico	2011-2015	47.294054
492	1	15+	ANNUAL	PER_100000_POP	7.424214814	43.73532918	140	MCO	Monaco	2011-2015	
496	1	15+	ANNUAL	PER_100000_POP	103.0728057	46.83892054	151	MNG	Mongolia	2011-2015	51.507438
498	1	15+	ANNUAL	PER_100000_POP	28.4650624	47.20236795	141	MDA	Republic of Moldova	2011-2015	32.32956
499	1	15+	ANNUAL	PER_100000_POP	19.25214024	42.78717043	150	MNE	Montenegro	2011-2015	71.159642
500	1	15+	ANNUAL	PER_100000_POP	-62.19261223	16.73558313	155	MSR	Montserrat	2011-2015	
504	1	15+	ANNUAL	PER_100000_POP	-6.281942841	31.8440131	139	MAR	Morocco	2011-2015	24.00046
508	1	15+	ANNUAL	PER_100000_POP	38.18479941	-14.27963886	153	MOZ	Mozambique	2011-2015	7.9603826
512	1	15+	ANNUAL	PER_100000_POP	57.87743482	21.98805614	173	OMN	Oman	2011-2015	
516	1	15+	ANNUAL	PER_100000_POP	17.21907885	-22.13817068	161	NAM	Namibia	2011-2015	51.369376
520	1	15+	ANNUAL	PER_100000_POP	166.92313	-0.528742623	171	NRU	Nauru	2011-2015	
524	1	15+	ANNUAL	PER_100000_POP	83.94678863	28.25866332	170	NPL	Nepal	2011-2015	8.1690074
528	1	15+	ANNUAL	PER_100000_POP	5.331480568	51.86728884	168	NLD	Netherlands	2011-2015	53.339096
530	1	15+	ANNUAL	PER_100000_POP	-68.30676179	12.22720635	8	ANT	Netherlands Antilles	2011-2015	
531	1	15+	ANNUAL	PER_100000_POP	-68.95033464	12.15058042	56	CUW	Curaçao	2011-2015	
533	1	15+	ANNUAL	PER_100000_POP	-69.97050586	12.50878756	1	ABW	Aruba	2011-2015	118.33124
534	1	15+	ANNUAL	PER_100000_POP	-63.06198692	18.03926508	218	SXM	Sint Maarten (Dutch part)	2011-2015	
540	1	15+	ANNUAL	PER_100000_POP	165.5067368	-21.41742531	162	NCL	New Caledonia	2011-2015	
548	1	15+	ANNUAL	PER_100000_POP	167.0679779	-15.34445547	257	VUT	Vanuatu	2011-2015	34.720358
554	1	15+	ANNUAL	PER_100000_POP	170.4755673	-43.98721568	172	NZL	New Zealand	2011-2015	72.832602
558	1	15+	ANNUAL	PER_100000_POP	-85.03060315	12.84210839	166	NIC	Nicaragua	2011-2015	11.6147142
562	1	15+	ANNUAL	PER_100000_POP	9.400167877	17.42143036	163	NER	Niger	2011-2015	1.17327
566	1	15+	ANNUAL	PER_100000_POP	8.097363256	9.585789025	165	NGA	Nigeria	2011-2015	13.71614
570	1	15+	ANNUAL	PER_100000_POP	-169.8601693	-19.05000475	167	NIU	Niue	2011-2015	
574	1	15+	ANNUAL	PER_100000_POP	167.9515548	-29.03230018	164	NFK	Norfolk Island	2011-2015	
578	1	15+	ANNUAL	PER_100000_POP	11.47846389	61.34311134	169	NOR	Norway	2011-2015	50.339998
580	1	15+	ANNUAL	PER_100000_POP	145.7582114	15.19099517	152	MNP	Northern Mariana Islands	2011-2015	
581	1	15+	ANNUAL	PER_100000_POP	-162.4343752	5.874443968	245	UMI	US Minor Outlying Islands	2011-2015	
583	1	15+	ANNUAL	PER_100000_POP	158.225216	6.880670092	79	FSM	Micronesia, Federated States of	2011-2015	
584	1	15+	ANNUAL	PER_100000_POP	171.0839119	7.110213497	145	MHL	Marshall Islands	2011-2015	5.9231358
585	1	15+	ANNUAL	PER_100000_POP	134.5733878	7.502307591	179	PLW	Palau	2011-2015	43.090036
586	1	15+	ANNUAL	PER_100000_POP	68.80479684	29.36491634	174	PAK	Pakistan	2011-2015	6.6423596
591	1	15+	ANNUAL	PER_100000_POP	-81.26616623	8.450965746	175	PAN	Panama	2011-2015	55.862922
598	1	15+	ANNUAL	PER_100000_POP	145.8587761	-6.756057077	180	PNG	Papua New Guinea	2011-2015	7.5815044
600	1	15+	ANNUAL	PER_100000_POP	-60.54854225	-21.70216237	187	PRY	Paraguay	2011-2015	22.46537
604	1	15+	ANNUAL	PER_100000_POP	-71.82093277	-13.58939705	177	PER	Peru	2011-2015	56.750696
608	1	15+	ANNUAL	PER_100000_POP	120.8601418	14.16591706	178	PHL	Philippines	2011-2015	21.31212
612	1	15+	ANNUAL	PER_100000_POP	-128.3225873	-24.37538456	176	PCN	Pitcairn	2011-2015	
616	1	15+	ANNUAL	PER_100000_POP	19.40660158	52.1226733	181	POL	Poland	2011-2015	60.032002
