geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
222	2012	ANNUAL	PER_100000_POP	1	-88.86862995	13.73603564	206	SLV	El Salvador	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	23.46517921241524	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
226	2012	ANNUAL	PER_100000_POP	1	10.46535826	1.565792376	90	GNQ	Equatorial Guinea	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	82.16379562561873	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
231	2012	ANNUAL	PER_100000_POP	1	39.63505296	8.631223181	73	ETH	Ethiopia	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	49.87599656396378	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
232	2012	ANNUAL	PER_100000_POP	1	38.11074289	16.12894644	69	ERI	Eritrea	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	61.04770884235533	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
233	2012	ANNUAL	PER_100000_POP	1	25.84093481	58.68487172	72	EST	Estonia	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	32.19918975069899	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
234	2012	ANNUAL	PER_100000_POP	1	-7.122044325	62.21228119	78	FRO	Faroe Islands							
238	2012	ANNUAL	PER_100000_POP	1	-58.75246778	-51.74562601	76	FLK	Falkland Islands (Malvinas)							
239	2012	ANNUAL	PER_100000_POP	1	-36.90662765	-54.20736749	201	SGS	South Georgia and the South Sandwich Islands							
242	2012	ANNUAL	PER_100000_POP	1	177.9660884	-17.83301566	75	FJI	Fiji	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	59.48565807431952	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
246	2012	ANNUAL	PER_100000_POP	1	23.308447	61.91586738	74	FIN	Finland	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
248	2012	ANNUAL	PER_100000_POP	1	19.80945969	60.1544901	5	ALA	Åland Islands							
250	2012	ANNUAL	PER_100000_POP	1	2.457288129	46.62660861	77	FRA	France	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
254	2012	ANNUAL	PER_100000_POP	1	-53.23619089	3.922673437	95	GUF	French Guiana							
258	2012	ANNUAL	PER_100000_POP	1	-149.4052367	-17.67709294	191	PYF	French Polynesia							
260	2012	ANNUAL	PER_100000_POP	1	69.64849091	-49.6068576	14	ATF	French Southern Territories							
262	2012	ANNUAL	PER_100000_POP	1	42.18274707	11.56004161	62	DJI	Djibouti	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	18.90667246807077	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
266	2012	ANNUAL	PER_100000_POP	1	11.78727747	-0.60687619	80	GAB	Gabon	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	26.74092711630321	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
268	2012	ANNUAL	PER_100000_POP	1	43.3713615	42.04813028	82	GEO	Georgia	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	212.05252271278830	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
270	2012	ANNUAL	PER_100000_POP	1	-15.39944785	13.45295927	88	GMB	Gambia	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	60.49482415086207	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
275	2012	ANNUAL	PER_100000_POP	1	35.25694122	31.94347933	189	PSE	State of Palestine							
276	2012	ANNUAL	PER_100000_POP	1	10.3806066	51.08862743	61	DEU	Germany	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
288	2012	ANNUAL	PER_100000_POP	1	-1.205623522	7.964825185	84	GHA	Ghana	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	68.37050874317490	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
292	2012	ANNUAL	PER_100000_POP	1	-5.347561686	36.13895036	85	GIB	Gibraltar							
296	2012	ANNUAL	PER_100000_POP	1	-157.5643005	1.768837732	122	KIR	Kiribati	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	46.46599307080479	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
300	2012	ANNUAL	PER_100000_POP	1	22.58307827	39.47301873	91	GRC	Greece	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
304	2012	ANNUAL	PER_100000_POP	1	-41.39371316	74.75625681	93	GRL	Greenland							
308	2012	ANNUAL	PER_100000_POP	1	-61.68248568	12.11238395	92	GRD	Grenada	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	2.52642777863428	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
312	2012	ANNUAL	PER_100000_POP	1	-61.64762115	16.14416917	87	GLP	Guadeloupe							
316	2012	ANNUAL	PER_100000_POP	1	144.7029305	13.35485404	96	GUM	Guam							
320	2012	ANNUAL	PER_100000_POP	1	-91.2312746	15.00273719	94	GTM	Guatemala	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	33.42832231033850	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
324	2012	ANNUAL	PER_100000_POP	1	-11.28173419	11.00210343	86	GIN	Guinea	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	77.62708306131739	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
328	2012	ANNUAL	PER_100000_POP	1	-58.97322037	4.788012784	97	GUY	Guyana	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	14.24351086018580	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
332	2012	ANNUAL	PER_100000_POP	1	-72.33640958	18.40426539	102	HTI	Haiti	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	97.06511535600677	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
334	2012	ANNUAL	PER_100000_POP	1	73.52633626	-53.09106147	99	HMD	Heard Island and McDonald Islands							
336	2012	ANNUAL	PER_100000_POP	1	12.45315803	41.90343751	250	VAT	Holy See							
340	2012	ANNUAL	PER_100000_POP	1	-86.59974381	14.82243161	100	HND	Honduras	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	38.79584454639063	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
344	2012	ANNUAL	PER_100000_POP	1	114.0266445	22.41749934	98	HKG	China, Hong Kong Special Administrative Region							
348	2012	ANNUAL	PER_100000_POP	1	19.41221519	47.1651448	103	HUN	Hungary	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	47.60527648782528	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
352	2012	ANNUAL	PER_100000_POP	1	-19.02116966	64.79134763	111	ISL	Iceland	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
356	2012	ANNUAL	PER_100000_POP	1	79.3608464	22.34642074	106	IND	India	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	98.95026597147424	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
360	2012	ANNUAL	PER_100000_POP	1	113.9174	-0.994582204	104	IDN	Indonesia	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	66.20923558646757	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
364	2012	ANNUAL	PER_100000_POP	1	54.19766348	32.74370885	109	IRN	Iran (Islamic Republic of)	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.98995518529680	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
368	2012	ANNUAL	PER_100000_POP	1	43.76606267	33.05013795	110	IRQ	Iraq	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	1.96576624078698	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
372	2012	ANNUAL	PER_100000_POP	1	-7.121425272	53.25274054	108	IRL	Ireland	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
376	2012	ANNUAL	PER_100000_POP	1	34.62277992	31.06164552	112	ISR	Israel	SH_HAP_MORT	Crude death rate attributed to household air pollution, total (deaths per 100,000 population)	0.00000000000000	Float		Global Health Observatory (GHO), World Health Organisation (WHO)	E
