series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	METONS	2931	2750.63	2015	2750.63	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	METONS	42.25	46.03	2015	46.03	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	METONS	996.6	1053.4	2015	1053.4	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	METONS	633	590	2015	590	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	METONS	4626	4371	2015	4371	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	METONS	22436		2010	22436	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	METONS	8.1	8.58	2015	8.58	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	METONS	4909	4877	2015	4877	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	METONS	131.32	127.84	2015	127.84	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	METONS	504	446	2015	446	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	METONS	2247.5	2487.3	2015	2487.3	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	METONS	10255.4	10945.3	2015	10945.3	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	METONS	15458.41	15424.3	2015	15424.3	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	METONS	2.56	2.38	2015	2.38	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	METONS	5900	5880	2015	5880	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	METONS	33699	33359	2015	33359	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	METONS	408	369.5	2015	369.5	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	METONS	408.11	416.65	2015	416.65	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	METONS	481.7	513.1	2015	513.1	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	METONS	5.178	5.805	2015	5.805	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	METONS	626.5	656.9	2015	656.9	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	METONS	450.5	425.8	2015	425.8	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	METONS	64	68	2015	68	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	METONS						
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	METONS	223.2	243.6	2015	243.6	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	METONS	2455.677	2382.156	2015	2382.156	Official submission of country data to FAO Global Forest Resources Assessment	C
