series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	METONS	1453087744	1475260800	1499818880	1572396416	1598250112	1672511744	1823921280	2015717888	2206940160	2224303616	2403233024	2134823193.6	2010	2403233024	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	METONS	3069672.5	3546544.5	3350968.25	3032009.75	3233399.25	3119211.5	3521442.25	3685614.5	3926564.25	3557612.25	3902498	3718746.25	2010	3902498	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	METONS	340800	316600	310600	330900	361000	4164596	14712126	17470640	498000	473300	504100	6731633.2	2010	504100	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	METONS	6081502.5	6508269	6654586	6525026	5781945.5	6497649.5	6470441	6455682.5	7153830.5	5009780.5	4990323.5	6016011.6	2010	4990323.5	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	METONS	99745672	103827168	104613232	104215488	116186752	119211696	133595904	134859472	147987312	120552704	119410200	131281118.4	2010	119410200	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	METONS	106521448	111201568	112362736	121004496	128019792	131380816	141067520	145507696	148830048	154711008	159111728	149845600	2010	159111728	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	METONS	11252546	13665492	14038746	14975010	15167471	15682222	16055764	15714752	15706982	15885839	15952145	15863096.4	2010	15952145	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	METONS	84764624	80607320	81722864	91343856	101952056	105624392	121776592	128545640	147044880	144985616	140969648	136664475.2	2010	140969648	Environment Live	C
