X	Y	OBJECTID	ISO3CD	geoAreaCode	geoAreaName
47.49305029	29.53949468	125	KWT	414	Kuwait
74.52324839	41.46204516	120	KGZ	417	Kyrgyzstan
101.9901968	20.27482773	126	LAO	418	Lao People's Democratic Republic
35.89391711	33.92152458	127	LBN	422	Lebanon
28.25362195	-29.58041814	133	LSO	426	Lesotho
26.42461876	56.64196636	136	LVA	428	Latvia
-9.311879038	6.448381009	128	LBR	430	Liberia
18.0295985	27.04042819	129	LBY	434	Libya
9.552985019	47.14167005	131	LIE	438	Liechtenstein
23.90517807	55.33680309	134	LTU	440	Lithuania
6.092656563	49.77679538	135	LUX	442	Luxembourg
113.5665388	22.1237259	137	MAC	446	China, Macao Special Administrative Region
46.6982339	-19.38514785	142	MDG	450	Madagascar
33.4884625	-13.40819859	158	MWI	454	Malawi
116.8346314	5.452415309	159	MYS	458	Malaysia
73.09672546	-0.614385021	143	MDV	462	Maldives
-3.522016039	17.35311254	147	MLI	466	Mali
14.44617519	35.89194275	148	MLT	470	Malta
-60.91544135	14.56086108	156	MTQ	474	Martinique
-10.33187259	20.26089546	154	MRT	478	Mauritania
57.568022	-20.28581998	157	MUS	480	Mauritius
-102.5148166	23.93378032	144	MEX	484	Mexico
7.424214814	43.73532918	140	MCO	492	Monaco
103.0728057	46.83892054	151	MNG	496	Mongolia
28.4650624	47.20236795	141	MDA	498	Republic of Moldova
19.25214024	42.78717043	150	MNE	499	Montenegro
-62.19261223	16.73558313	155	MSR	500	Montserrat
-6.281942841	31.8440131	139	MAR	504	Morocco
38.18479941	-14.27963886	153	MOZ	508	Mozambique
57.87743482	21.98805614	173	OMN	512	Oman
17.21907885	-22.13817068	161	NAM	516	Namibia
166.92313	-0.528742623	171	NRU	520	Nauru
83.94678863	28.25866332	170	NPL	524	Nepal
5.331480568	51.86728884	168	NLD	528	Netherlands
-68.30676179	12.22720635	8	ANT	530	Netherlands Antilles
-68.95033464	12.15058042	56	CUW	531	Curaçao
-69.97050586	12.50878756	1	ABW	533	Aruba
-63.06198692	18.03926508	218	SXM	534	Sint Maarten (Dutch part)
165.5067368	-21.41742531	162	NCL	540	New Caledonia
167.0679779	-15.34445547	257	VUT	548	Vanuatu
170.4755673	-43.98721568	172	NZL	554	New Zealand
-85.03060315	12.84210839	166	NIC	558	Nicaragua
9.400167877	17.42143036	163	NER	562	Niger
8.097363256	9.585789025	165	NGA	566	Nigeria
-169.8601693	-19.05000475	167	NIU	570	Niue
167.9515548	-29.03230018	164	NFK	574	Norfolk Island
11.47846389	61.34311134	169	NOR	578	Norway
145.7582114	15.19099517	152	MNP	580	Northern Mariana Islands
-162.4343752	5.874443968	245	UMI	581	US Minor Outlying Islands
158.225216	6.880670092	79	FSM	583	Micronesia, Federated States of
171.0839119	7.110213497	145	MHL	584	Marshall Islands
134.5733878	7.502307591	179	PLW	585	Palau
68.80479684	29.36491634	174	PAK	586	Pakistan
-81.26616623	8.450965746	175	PAN	591	Panama
145.8587761	-6.756057077	180	PNG	598	Papua New Guinea
-60.54854225	-21.70216237	187	PRY	600	Paraguay
-71.82093277	-13.58939705	177	PER	604	Peru
120.8601418	14.16591706	178	PHL	608	Philippines
-128.3225873	-24.37538456	176	PCN	612	Pitcairn
19.40660158	52.1226733	181	POL	616	Poland
-7.961599811	39.68509315	186	PRT	620	Portugal
-14.40182514	12.11760394	89	GNB	624	Guinea-Bissau
125.9451052	-8.797497247	228	TLS	626	Timor-Leste
-66.47591017	18.22753799	182	PRI	630	Puerto Rico
51.19152467	25.28355379	192	QAT	634	Qatar
55.53171398	-21.13183266	193	REU	638	Réunion
24.98481009	45.83893563	194	ROU	642	Romania
99.01404926	61.61899849	195	RUS	643	Russian Federation
29.92310194	-1.999842114	196	RWA	646	Rwanda
-62.83173536	17.89513362	29	BLM	652	Saint Barthélemy
-5.705752501	-15.96503946	202	SHN	654	Saint Helena
-62.76628613	17.33994219	123	KNA	659	Saint Kitts and Nevis
-63.05651612	18.21525315	4	AIA	660	Anguilla
-60.96529553	13.89405601	130	LCA	662	Saint Lucia
-63.04505461	18.0882685	138	MAF	663	Saint Martin (French Part)
-56.33682442	46.85812735	209	SPM	666	Saint Pierre and Miquelon
-61.19024321	13.24627968	251	VCT	670	Saint Vincent and the Grenadines
12.46329038	43.93841766	207	SMR	674	San Marino
6.609772265	0.241554875	212	STP	678	Sao Tome and Principe
44.54763347	24.12594211	197	SAU	682	Saudi Arabia
-14.46636926	14.35920905	199	SEN	686	Senegal
20.805876	44.03145697	210	SRB	688	Serbia
55.46561591	-4.678053059	219	SYC	690	Seychelles
-11.78306584	8.568604164	205	SLE	694	Sierra Leone
103.8107883	1.361009155	200	SGP	702	Singapore
19.48495604	48.70741446	214	SVK	703	Slovakia
105.802499	10.09643079	256	VNM	704	Viet Nam
14.82209486	46.11958061	215	SVN	705	Slovenia
46.20367477	4.406485729	208	SOM	706	Somalia
24.67184355	-29.99957544	283	ZAF	710	South Africa
29.86909584	-19.00075492	285	ZWE	716	Zimbabwe
-3.554078296	40.39211472	71	ESP	724	Spain
30.32618773	7.290839152	211	SSD	728	South Sudan
-13.13515523	24.66265342	70	ESH	732	Western Sahara
29.95650159	16.02643066	198	SDN	736	Sudan
-55.90626394	4.132603197	213	SUR	740	Suriname
13.38071013	78.82894131	203	SJM	744	Svalbard and Jan Mayen Islands
31.50149288	-26.56471011	217	SWZ	748	Swaziland
14.3775338	60.60103109	216	SWE	752	Sweden
8.223158	46.96617097	43	CHE	756	Switzerland
38.50466565	35.01676176	220	SYR	760	Syrian Arab Republic (Syria)
69.294998	38.43069666	225	TJK	762	Tajikistan
101.0202951	15.13089239	224	THA	764	Thailand
0.97835765	8.532096072	223	TGO	768	Togo
-171.8154473	-9.214545558	226	TKL	772	Tokelau
-175.1959991	-21.19511329	229	TON	776	Tonga
-61.29389504	10.41877263	230	TTO	780	Trinidad and Tobago
53.98279159	23.43322219	9	ARE	784	United Arab Emirates
9.572737411	34.11439971	231	TUN	788	Tunisia
35.42890329	38.9899684	232	TUR	792	Turkey
58.9787665	40.0912346	227	TKM	795	Turkmenistan
-71.745121	21.80780585	221	TCA	796	Turks and Caicos Islands
178.6679611	-7.460048071	233	TUV	798	Tuvalu
32.39100438	1.279557331	236	UGA	800	Uganda
31.40270802	49.00735945	237	UKR	804	Ukraine
21.7007909	41.60048068	146	MKD	807	Macedonia, Republic of
29.77468534	26.57438204	68	EGY	818	Egypt
-2.23830539	53.27691757	81	GBR	826	United Kingdom
-2.200712402	49.71561166	83	GGY	831	Guernsey
-2.136773508	49.22353354	115	JEY	832	Jersey
-4.538190305	54.22880901	105	IMN	833	Isle of Man
34.80521182	-6.265332606	235	TZA	834	Tanzania, United Republic of
-99.13830311	39.5277871	248	USA	840	United States of America
-64.76960113	17.73297693	255	VIR	850	United States Virgin Islands
-1.742843829	12.27491081	23	BFA	854	Burkina Faso
-56.01387025	-32.8002838	247	URY	858	Uruguay
63.11944558	41.77560518	249	UZB	860	Uzbekistan
-66.15642084	7.121324748	253	VEN	862	Venezuela (Bolivarian Republic)
-176.2034788	-13.28471201	258	WLF	876	Wallis and Futuna Islands
-172.4430749	-13.61541469	259	WSM	882	Samoa
45.22389143	15.22242099	282	YEM	887	Yemen
27.850329	-14.59701056	284	ZMB	894	Zambia
