geoAreaCode	sliceId	Age	Freq	Location	Sex	Units	Bounds	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
48	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	50.5490754	26.04407747	26	BHR	Bahrain	2013-2017	0.854941000054026
48	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	50.5490754	26.04407747	26	BHR	Bahrain	2013-2017	0.826133642762824
48	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	50.5490754	26.04407747	26	BHR	Bahrain	2013-2017	0.877504647642578
50	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	89.17660788	22.86961622	24	BGD	Bangladesh	2013-2017	0.774037719452264
50	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	89.17660788	22.86961622	24	BGD	Bangladesh	2013-2017	0.736237338056853
50	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	89.17660788	22.86961622	24	BGD	Bangladesh	2013-2017	0.800797344963715
51	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	44.93839317	40.29499741	11	ARM	Armenia	2013-2017	0.844596100035932
51	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	44.93839317	40.29499741	11	ARM	Armenia	2013-2017	0.824851814844091
51	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	44.93839317	40.29499741	11	ARM	Armenia	2013-2017	0.851104497113055
52	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	-59.5346489	13.13648273	35	BRB	Barbados	2013-2017	0.915045898127368
52	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	-59.5346489	13.13648273	35	BRB	Barbados	2013-2017	0.905799777819226
52	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	-59.5346489	13.13648273	35	BRB	Barbados	2013-2017	0.921398215950968
56	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	4.660976456	50.64104975	21	BEL	Belgium	2013-2017	0.985409911061
56	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	4.660976456	50.64104975	21	BEL	Belgium	2013-2017	0.984384518655983
56	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	4.660976456	50.64104975	21	BEL	Belgium	2013-2017	0.986705152422241
60	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	-64.78155012	32.27881922	32	BMU	Bermuda	2013-2017	0.587729962452276
60	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	-64.78155012	32.27881922	32	BMU	Bermuda	2013-2017	0.518789199768239
60	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	-64.78155012	32.27881922	32	BMU	Bermuda	2013-2017	0.654873351248263
64	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	90.45098484	27.39598568	37	BTN	Bhutan	2013-2017	0.799807680194078
64	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	90.45098484	27.39598568	37	BTN	Bhutan	2013-2017	0.78376560512481
64	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	90.45098484	27.39598568	37	BTN	Bhutan	2013-2017	0.80724682513202
68	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2013-2017	0.871176605058568
68	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2013-2017	0.863294012902253
68	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2013-2017	0.876667553976256
70	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2013-2017	0.903512819681846
70	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2013-2017	0.901187383291703
70	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2013-2017	0.904626309470898
72	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	23.81380223	-22.18810073	39	BWA	Botswana	2013-2017	0.979661861618602
72	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	23.81380223	-22.18810073	39	BWA	Botswana	2013-2017	0.978236566410901
72	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	23.81380223	-22.18810073	39	BWA	Botswana	2013-2017	0.979945231886461
74	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	3.410732868	-54.43295905	38	BVT	Bouvet Island	2013-2017	
74	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	3.410732868	-54.43295905	38	BVT	Bouvet Island	2013-2017	
74	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	3.410732868	-54.43295905	38	BVT	Bouvet Island	2013-2017	
76	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	-53.08432878	-10.77668561	34	BRA	Brazil	2013-2017	0.902950835789626
76	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	-53.08432878	-10.77668561	34	BRA	Brazil	2013-2017	0.888295615868368
76	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	-53.08432878	-10.77668561	34	BRA	Brazil	2013-2017	0.910110255297108
84	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	-88.70199554	17.19965901	31	BLZ	Belize	2013-2017	0.748285077316366
84	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	-88.70199554	17.19965901	31	BLZ	Belize	2013-2017	0.729113942489324
84	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	-88.70199554	17.19965901	31	BLZ	Belize	2013-2017	0.764036247015664
86	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	2013-2017	
86	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	2013-2017	
86	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	2013-2017	
90	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	160.1584117	-9.622391719	204	SLB	Solomon Islands	2013-2017	
90	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	160.1584117	-9.622391719	204	SLB	Solomon Islands	2013-2017	
90	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	160.1584117	-9.622391719	204	SLB	Solomon Islands	2013-2017	
92	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	-64.63294223	18.42256578	254	VGB	British Virgin Islands	2013-2017	0.752902096688738
92	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	-64.63294223	18.42256578	254	VGB	British Virgin Islands	2013-2017	0.715754048854316
92	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	-64.63294223	18.42256578	254	VGB	British Virgin Islands	2013-2017	0.782676574057148
96	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	114.6288563	4.49736984	36	BRN	Brunei Darussalam	2013-2017	0.831202374416352
96	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	114.6288563	4.49736984	36	BRN	Brunei Darussalam	2013-2017	0.811211154221086
96	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	114.6288563	4.49736984	36	BRN	Brunei Darussalam	2013-2017	0.846447366996669
100	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	25.23763153	42.75731323	25	BGR	Bulgaria	2013-2017	0.941316596213234
100	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	25.23763153	42.75731323	25	BGR	Bulgaria	2013-2017	0.929577128817592
100	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	25.23763153	42.75731323	25	BGR	Bulgaria	2013-2017	0.944511338500632
104	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	96.51752295	21.19332882	149	MMR	Myanmar	2013-2017	
104	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	96.51752295	21.19332882	149	MMR	Myanmar	2013-2017	
104	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	96.51752295	21.19332882	149	MMR	Myanmar	2013-2017	
108	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	29.89080992	-3.366387428	20	BDI	Burundi	2013-2017	0.921290451244586
108	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	29.89080992	-3.366387428	20	BDI	Burundi	2013-2017	0.86426940454534
108	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	29.89080992	-3.366387428	20	BDI	Burundi	2013-2017	0.938497125762156
112	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	28.04940161	53.54193075	30	BLR	Belarus	2013-2017	0.966554913502366
112	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	28.04940161	53.54193075	30	BLR	Belarus	2013-2017	0.958668792755276
112	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	28.04940161	53.54193075	30	BLR	Belarus	2013-2017	0.976715033736833
116	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	104.922836	12.71163737	121	KHM	Cambodia	2013-2017	0.82758279655677
116	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	104.922836	12.71163737	121	KHM	Cambodia	2013-2017	0.799749876323672
